"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit
"PFIZER.NS, Long, 2026-02-11 (Price: 5195.0)",No Exit Yet,"-2.51%, 2 days","77.78%, Past 4 years, 18","Daily, is CONFIRMED on 2026-02-11",Already confirmed,"2026-02-13 (Price: 5064.7002), 2.51% below",2 days,"4, 2025-08-18 (Price: 5873.5)",2026-02-09 (Price: 4764.1001),2026-02-11 (Price: 5195.0),4/2/2 days,6.31% above/2.51% below/2.51% below,2025-08-18 (Price: 5873.5)/2026-02-11 (Price: 4770.4992),10.69%/0.7%/4.56%,"29.03%, 33.14%",4.3 months/7 days/1.5 month,2026-08-16/2026-02-21/2026-04-17,-11.68%,2.17%,-13.85%,-0.07,0.08,5391.371/5431.892/5602.1/6091.0/7361.5139/8227.7193/No EMA 200 Target,4551.0/3750.55/5172.421/3843.4814/No F-Track Level/No F-Track Level/5131.52,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),27.119408,20.0,1418400000.0,1276000000.0
"SAIL.NS, Long, 2026-02-11 (Price: 162.15)",No Exit Yet,"-1.57%, 2 days","73.91%, Past 4 years, 23","Daily, is CONFIRMED on 2026-02-11",Already confirmed,"2026-02-13 (Price: 159.6), 1.57% below",2 days,"2, 2020-01-17 (Price: 51.9)",2026-02-10 (Price: 160.99),2026-02-11 (Price: 162.15),3/2/2 days,0.86% below/1.57% below/1.57% below,2020-01-17 (Price: 51.9)/2026-02-11 (Price: 159.3894),20.71%/1.38%/5.47%,"31.42%, 42.63%",4.4 months/6 days/1.2 month,2026-08-21/2026-02-19/2026-04-04,10.91%,14.46%,-3.55%,-0.08,0.67,173.4032/171.0196/228.3/No Horizontal Resistance/310.5036/380.5902/No EMA 200 Target,145.4/73.475/147.5048/127.2226/No F-Track Level/No F-Track Level/133.2,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),25.678513,20.0,7445800000.0,817800000.0
"JINDALSAW.NS, Long, 2026-02-11 (Price: 196.61)",No Exit Yet,"-3.77%, 2 days","87.5%, Past 4 years, 32","Daily, is CONFIRMED on 2026-02-11",Already confirmed,"2026-02-13 (Price: 189.19), 3.77% below",2 days,"10, 2025-06-12 (Price: 260.4)",2026-02-09 (Price: 189.38),2026-02-11 (Price: 196.61),4/2/2 days,0.1% below/3.77% below/3.77% below,2025-06-12 (Price: 260.4)/2026-02-11 (Price: 186.3512),9.51%/2.46%/6.08%,"0.04%, 38.9%",2.5 months/6 days/20 days,2026-05-30/2026-02-19/2026-03-11,19.23%,19.58%,-0.35%,0.84,0.85,223.6635/208.5639/234.88/284.375/399.3668/495.7965/199.23,175.77/39.175/195.2278/163.976/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),10.731708,20.0,2579900000.0,4996100000.0
"ANGELONE.NS, Long, 2026-02-10 (Price: 2783.0)",No Exit Yet,"-2.99%, 3 days","88.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 2699.8999), 2.99% below",3 days,"0, 2025-06-05 (Price: 3285.0)",2026-02-09 (Price: 2715.5),2026-02-10 (Price: 2783.0),4/3/3 days,0.57% below/2.99% below/2.99% below,2025-06-05 (Price: 3285.0)/2026-02-10 (Price: 2652.4513),15.48%/2.4%/9.34%,"23.79%, 38.06%",3.5 months/4 days/22 days,2026-07-12/2026-02-15/2026-03-13,37.23%,34.76%,2.47%,0.59,1.37,3407.7835/3042.9322/3084.2/2861.0/4361.6036/5072.9536/No EMA 200 Target,2401.3/994.75/2582.5242/2390.3887/No F-Track Level/No F-Track Level/2592.05,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),32.900864,18.0,2686640000.0,4233680000.0
"BATAINDIA.NS, Long, 2026-02-10 (Price: 918.55)",No Exit Yet,"-6.43%, 3 days","78.26%, Past 4 years, 23","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 859.45), 6.43% below",3 days,"2, 2025-10-07 (Price: 1238.0)",2026-02-06 (Price: 849.1),2026-02-10 (Price: 918.55),7/3/3 days,1.22% above/6.43% below/6.43% below,2025-10-07 (Price: 1238.0)/2026-02-10 (Price: 844.0847),7.45%/2.04%/4.16%,"21.21%, 30.63%",28 days/7 days/13 days,2026-03-22/2026-02-20/2026-02-28,6.44%,-6.65%,13.09%,-0.3,-0.39,948.6784/956.7617/1110.22/2022.325/2442.4064/2808.0911/1113.31,849.1/No Horizontal Support/894.2522/739.6049/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),61.858788,20.0,661020000.0,519790000.0
"BHARATWIRE.NS, Long, 2026-02-10 (Price: 178.11)",No Exit Yet,"-2.08%, 3 days","96.43%, Past 4 years, 28","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 174.41), 2.08% below",3 days,"2, 2025-10-28 (Price: 229.43)",2026-02-06 (Price: 171.06),2026-02-10 (Price: 178.11),7/3/3 days,1.96% above/2.08% below/2.08% below,2025-10-28 (Price: 229.43)/2026-02-10 (Price: 169.4817),26.72%/2.42%/11.66%,"5.66%, 42.97%",4.2 months/7 days/1.2 month,2026-08-11/2026-02-20/2026-04-03,47.72%,26.53%,21.19%,1.36,1.07,194.2468/198.8776/208.9/297.625/366.0699/486.1823/185.62,159.41/86.7375/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),15.679212,20.0,182486000.0,148841000.0
"CAMS.NS, Long, 2026-02-10 (Price: 742.6)",No Exit Yet,"-2.46%, 3 days","87.5%, Past 4 years, 24","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 724.3), 2.46% below",3 days,"2, 2025-11-20 (Price: 813.0)",2026-02-09 (Price: 736.4),2026-02-10 (Price: 742.6),4/3/3 days,1.64% below/2.46% below/2.46% below,2025-11-20 (Price: 813.0)/2026-02-10 (Price: 726.5013),12.55%/2.52%/6.5%,"20.84%, 39.77%",3.2 months/7 days/1.8 month,2026-06-29/2026-02-20/2026-04-29,-1.93%,14.39%,-16.32%,0.32,0.7,741.9317/790.869/784.84/987.985/1128.3891/1235.3184/775.61,679.4/404.715/722.8895/694.9976/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),38.81911,28.0,1255387000.0,1254928000.0
"CHAMBLFERT.NS, Long, 2026-02-10 (Price: 453.75)",No Exit Yet,"0.36%, 3 days","81.82%, Past 4 years, 33","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 455.4), 0.36% above",3 days,"0, 2025-04-22 (Price: 699.7)",2026-02-10 (Price: 453.75),2026-02-10 (Price: 453.75),3/3/3 days,0.36% above/0.36% above/0.36% above,2025-04-22 (Price: 699.7)/2026-02-10 (Price: 441.2269),22.62%/1.6%/7.16%,"22.05%, 29.14%",3.1 months/6 days/20 days,2026-06-24/2026-02-18/2026-03-10,19.51%,14.38%,5.13%,0.6,0.68,496.3118/486.2385/601.32/577.525/705.4334/764.988/520.84,427.45/249.225/373.8657/340.9532/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),9.52082,20.0,5864100000.0,5363700000.0
"COLPAL.NS, Long, 2026-02-10 (Price: 2183.0)",No Exit Yet,"-2.84%, 3 days","73.68%, Past 4 years, 19","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 2120.8999), 2.84% below",3 days,"10, 2024-07-30 (Price: 3424.95)",2026-02-10 (Price: 2183.0),2026-02-10 (Price: 2183.0),3/3/3 days,2.84% below/2.84% below/2.84% below,2024-07-30 (Price: 3424.95)/2026-02-10 (Price: 2151.4616),8.41%/1.11%/3.95%,"11.22%, 21.16%",1.5 month/9 days/25 days,2026-04-16/2026-02-23/2026-03-18,7.26%,4.19%,3.07%,0.11,0.19,2263.771/2269.2285/2928.17/2680.4167/3878.526/4470.3322/2293.45,2112.7/1428.21/2028.937/1826.0705/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),43.53291,22.0,3238600000.0,3950500000.0
"DELTACORP.NS, Long, 2026-02-10 (Price: 70.09)",No Exit Yet,"-3.14%, 3 days","94.74%, Past 4 years, 19","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 67.89), 3.14% below",3 days,"4, 2021-10-12 (Price: 307.45)",2026-02-09 (Price: 68.24),2026-02-10 (Price: 70.09),4/3/3 days,0.51% below/3.14% below/3.14% below,2021-10-12 (Price: 307.45)/2026-02-10 (Price: 67.2426),13.68%/1.3%/6.5%,"14.67%, 29.8%",1.9 month/6 days/13 days,2026-05-03/2026-02-18/2026-02-28,20.87%,-11.8%,32.67%,0.57,-0.27,76.4261/74.6458/212.51/307.575/No Next Fib Ext/No Next Fib Ext/80.74,62.87/No Horizontal Support/62.1217/45.981/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),7.3150535,20.0,142800000.0,269800000.0
"ETERNAL.NS, Long, 2026-02-10 (Price: 303.8)",No Exit Yet,"-4.87%, 3 days","93.75%, Past 4 years, 16","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 289.0), 4.87% below",3 days,"4, 2025-10-16 (Price: 368.45)",2026-02-06 (Price: 283.55),2026-02-10 (Price: 303.8),7/3/3 days,1.92% above/4.87% below/4.87% below,2025-10-16 (Price: 368.45)/2026-02-10 (Price: 280.7959),17.25%/4.04%/7.54%,"10.28%, 74.02%",3.5 months/4 days/24 days,2026-07-12/2026-02-15/2026-03-16,10.54%,13.87%,-3.33%,1.12,0.66,328.6812/326.7065/342.59/No Horizontal Resistance/471.3426/727.5139/No EMA 200 Target,253.85/49.525/215.1713/No support/No F-Track Level/No F-Track Level/288.85,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),1200.625,20.0,1020000000.0,1760000000.0
"GLAXO.NS, Long, 2026-02-10 (Price: 2622.8999)",No Exit Yet,"0.45%, 3 days","88.46%, Past 4 years, 26","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 2634.7), 0.45% above",3 days,"6, 2025-09-04 (Price: 2883.3999)",2026-02-09 (Price: 2516.2),2026-02-10 (Price: 2622.8999),4/3/3 days,4.71% above/0.45% above/0.45% above,2025-09-04 (Price: 2883.3999)/2026-02-10 (Price: 2488.0754),13.61%/0.78%/4.84%,"2.25%, 21.55%",3.7 months/7 days/25 days,2026-07-20/2026-02-20/2026-03-18,18.36%,5.23%,13.13%,0.87,0.27,2835.0925/2749.8483/2779.2/No Horizontal Resistance/3926.723/4701.661/2791.74,2272.6/1229.0/2583.0638/2441.018/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),43.60305,20.0,2956200000.0,2525000000.0
"GNFC.NS, Long, 2026-02-10 (Price: 489.2)",No Exit Yet,"-4.44%, 3 days","76.67%, Past 4 years, 30","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 467.5), 4.44% below",3 days,"2, 2025-11-13 (Price: 526.4)",2026-02-09 (Price: 480.5),2026-02-10 (Price: 489.2),4/3/3 days,2.71% below/4.44% below/4.44% below,2025-11-13 (Price: 526.4)/2026-02-10 (Price: 476.706),11.08%/2.62%/5.5%,"24.16%, 35.94%",1.9 month/8 days/24 days,2026-05-03/2026-02-21/2026-03-16,14.54%,13.31%,1.23%,-0.18,0.63,510.627/516.106/511.52/796.6667/929.4671/1063.93/508.72,464.1/392.3/473.0289/440.4736/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),11.011077,20.0,1500000000.0,1630000000.0
"GRASIM.NS, Long, 2026-02-10 (Price: 2953.8999)",No Exit Yet,"-1.33%, 3 days","90.91%, Past 4 years, 22","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 2914.5), 1.33% below",3 days,"0, 2025-06-27 (Price: 2896.0)",2026-02-09 (Price: 2926.3),2026-02-10 (Price: 2953.8999),4/3/3 days,0.4% below/1.33% below/1.33% below,2025-06-27 (Price: 2896.0)/2026-02-10 (Price: 2849.5352),8.81%/0.58%/4.86%,"8.14%, 18.31%",2.1 months/4 days/29 days,2026-05-12/2026-02-15/2026-03-24,16.99%,17.0%,-0.01%,0.99,0.91,3073.2375/3097.4594/2988.64/No Horizontal Resistance/3221.3731/3642.8513/No EMA 200 Target,2713.6/1264.273/2432.5457/2043.1472/No F-Track Level/No F-Track Level/2774.44,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),43.739132,20.0,10365900000.0,3146300000.0
"HCL-INSYS.NS, Long, 2026-02-10 (Price: 14.2)",No Exit Yet,"-2.54%, 3 days","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 13.84), 2.54% below",3 days,"2, 2026-01-02 (Price: 15.38)",2026-02-09 (Price: 13.41),2026-02-10 (Price: 14.2),4/3/3 days,3.21% above/2.54% below/2.54% below,2026-01-02 (Price: 15.38)/2026-02-10 (Price: 12.6644),54.67%/2.82%/24.6%,"6.37%, 16.67%",2.5 months/6 days/25 days,2026-05-29/2026-02-18/2026-03-18,46.73%,8.22%,38.51%,0.83,0.44,16.4038/17.6932/14.91/20.6/No Next Fib Ext/No Next Fib Ext/15.18,12.03/11.95/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),No Data,20.0,-55000000.0,-78400000.0
