"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price,PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit
"IONEXCHANG.NS, Long, 2026-02-06 (Price: 378.6)",No Exit Yet,"0.25%, 3 days","100.0%, Past 4 years, 11","Daily, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-09 (Price: 379.55), 0.25% above",3 days,"2, 2025-12-15 (Price: 382.2)",2026-02-04 (Price: 360.2),2026-02-06 (Price: 378.6),5/3/3 days,5.37% above/0.25% above/0.25% above,2025-12-15 (Price: 417.0798)/2026-02-06 (Price: 350.9753),20.39%/0.45%/10.12%,"-0.0%, 18.19%",3.9 months/7 days/1.7 month,2026-07-25/2026-02-16/2026-04-20,26.45%,13.48%,12.97%,0.95,0.64,394.0847/416.9143/380.76/607.6/No Next Fib Ext/No Next Fib Ext/442.12,349.55/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),375.25,25.215122,20.0,203000000.0,509400000.0
"LICI.NS, Long, 2026-02-06 (Price: 901.85)",No Exit Yet,"-1.15%, 3 days","100.0%, Past 4 years, 24","Daily, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-09 (Price: 891.45), 1.15% below",3 days,"2, 2025-10-24 (Price: 889.65)",2026-02-05 (Price: 839.75),2026-02-06 (Price: 901.85),4/3/3 days,6.16% above/1.15% below/1.15% below,2025-10-24 (Price: 938.2974)/2026-02-06 (Price: 834.4682),15.91%/0.34%/4.22%,"-0.0%, 19.73%",5 months/7 days/1.4 month,2026-09-11/2026-02-16/2026-04-07,38.9%,-0.42%,39.32%,0.8,-0.03,940.2688/939.9081/909.17/993.9/1290.2642/1458.8656/No EMA 200 Target,802.15/592.675/823.0821/No support/No F-Track Level/No F-Track Level/883.8,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),847.45,10.639543,20.0,129304400000.0,77286800000.0
"MANAPPURAM.NS, Long, 2026-02-06 (Price: 300.9)",No Exit Yet,"1.66%, 3 days","95.65%, Past 4 years, 23","Daily, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-09 (Price: 305.9), 1.66% above",3 days,"0, 2024-04-16 (Price: 188.85)",2026-02-06 (Price: 300.9),2026-02-06 (Price: 300.9),3/3/3 days,1.66% above/1.66% above/1.66% above,2024-04-16 (Price: 296.8397)/2026-02-06 (Price: 291.4086),13.8%/0.66%/5.59%,"1.33%, 19.12%",3.3 months/7 days/1 month,2026-06-29/2026-02-16/2026-03-21,22.81%,6.39%,16.42%,1.64,0.36,330.2077/317.7203/368.13/No Horizontal Resistance/339.0094/376.0155/No EMA 200 Target,279.4/101.575/286.0632/271.2564/No F-Track Level/No F-Track Level/273.16,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),291.85,65.8742,10.0,2410600000.0,5706500000.0
"PAGEIND.NS, Long, 2026-02-06 (Price: 35560.0)",No Exit Yet,"-0.46%, 3 days","81.25%, Past 4 years, 16","Daily, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-09 (Price: 35395.0), 0.46% below",3 days,"2, 2025-09-25 (Price: 42625.0)",2026-02-06 (Price: 35560.0),2026-02-06 (Price: 35560.0),3/3/3 days,0.46% below/0.46% below/0.46% below,2025-09-25 (Price: 43766.6729)/2026-02-06 (Price: 35032.2744),6.39%/1.05%/4.15%,"22.98%, 32.58%",2.1 months/9 days/27 days,2026-05-08/2026-02-19/2026-03-17,4.5%,6.11%,-1.61%,-0.07,0.32,37256.212/37035.74/39799.0/49746.6497/53705.601/60469.4909/42369.1,32520.0/33173.0169/31181.5138/26436.6581/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),34450.0,51.434517,20.0,1895364000.0,2046550000.0
"SAIL.NS, Long, 2026-02-06 (Price: 160.52)",No Exit Yet,"-0.67%, 3 days","73.91%, Past 4 years, 23","Daily, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-09 (Price: 159.45), 0.67% below",3 days,"2, 2025-11-03 (Price: 137.97)",2026-02-05 (Price: 158.5),2026-02-06 (Price: 160.52),4/3/3 days,0.6% above/0.67% below/0.67% below,2025-11-03 (Price: 145.0094)/2026-02-06 (Price: 155.867),20.71%/1.38%/5.47%,"31.42%, 42.63%",4.4 months/6 days/1.2 month,2026-08-16/2026-02-14/2026-03-30,10.91%,14.46%,-3.55%,-0.08,0.67,171.6601/169.3004/174.05/No Horizontal Resistance/310.5036/380.5902/No EMA 200 Target,145.4/73.475/147.5048/127.2226/No F-Track Level/No F-Track Level/132.55,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),158.0,26.008078,20.0,7445800000.0,817800000.0
"CHENNPETRO.NS, Long, 2026-02-05 (Price: 894.4)",No Exit Yet,"3.53%, 4 days","100.0%, Past 4 years, 11","Daily, is CONFIRMED on 2026-02-05",Already confirmed,"2026-02-09 (Price: 926.0), 3.53% above",4 days,"2, 2025-12-05 (Price: 928.15)",2026-02-04 (Price: 885.3),2026-02-05 (Price: 894.4),5/4/4 days,4.6% above/3.53% above/3.53% above,2025-12-05 (Price: 958.2411)/2026-02-05 (Price: 864.1161),12.24%/1.6%/5.82%,"0%, 19.29%",20 days/7 days/11 days,2026-03-05/2026-02-15/2026-02-20,25.05%,27.3%,-2.25%,2.04,1.1,1315.1258/946.4541/914.65/1112.75/1138.7329/1375.8825/No EMA 200 Target,782.7/95.0875/724.6829/No support/No F-Track Level/No F-Track Level/768.67,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),888.0,6.36244,20.0,10015900000.0,-6336900000.0
"DMART.NS, Long, 2026-02-05 (Price: 3934.8999)",No Exit Yet,"-0.33%, 4 days","91.18%, Past 4 years, 34","Daily, is CONFIRMED on 2026-02-05",Already confirmed,"2026-02-09 (Price: 3922.1001), 0.33% below",4 days,"4, 2025-08-12 (Price: 4252.5)",2026-02-04 (Price: 3846.6001),2026-02-05 (Price: 3934.8999),5/4/4 days,1.96% above/0.33% below/0.33% below,2025-08-12 (Price: 4945.7318)/2026-02-05 (Price: 3767.1298),9.79%/1.74%/5.56%,"21.95%, 36.86%",3.7 months/6 days/24 days,2026-07-15/2026-02-13/2026-03-11,18.25%,8.5%,9.75%,0.57,0.44,4202.0796/4153.6803/4125.46/4554.0667/5229.8756/5517.2662/4156.74,3656.7/3370.67/3469.2237/2647.0408/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),3849.0,91.10403,20.0,8559200000.0,6595800000.0
"INDIAMART.NS, Long, 2026-02-05 (Price: 2282.8)",No Exit Yet,"-1.96%, 4 days","94.44%, Past 4 years, 18","Daily, is CONFIRMED on 2026-02-05",Already confirmed,"2026-02-09 (Price: 2238.0), 1.96% below",4 days,"4, 2025-10-23 (Price: 2349.8)",2026-02-05 (Price: 2282.8),2026-02-05 (Price: 2282.8),4/4/4 days,1.96% below/1.96% below/1.96% below,2025-10-23 (Price: 2533.0132)/2026-02-05 (Price: 2263.6884),8.9%/0.73%/4.62%,"0.93%, 50.27%",5 months/4 days/1.6 month,2026-09-10/2026-02-10/2026-04-15,7.54%,9.1%,-1.56%,1.47,0.48,2299.4644/2388.2654/2323.0/3347.2562/5181.0026/5776.919/2407.37,2114.5/2238.8833/1962.7069/1582.8409/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),2269.1001,22.397015,20.0,1883100000.0,1351000000.0
"JINDALSTEL.NS, Long, 2026-02-05 (Price: 1178.0)",No Exit Yet,"0.93%, 4 days","96.67%, Past 4 years, 30","Daily, is CONFIRMED on 2026-02-05",Already confirmed,"2026-02-09 (Price: 1188.9), 0.93% above",4 days,"2, 2025-12-15 (Price: 1034.0)",2026-02-05 (Price: 1178.0),2026-02-05 (Price: 1178.0),4/4/4 days,0.93% above/0.93% above/0.93% above,2025-12-15 (Price: 1036.5)/2026-02-05 (Price: 1166.34),10.17%/1.38%/4.87%,"6.9%, 30.08%",2.5 months/6 days/22 days,2026-05-24/2026-02-13/2026-03-08,26.03%,23.89%,2.14%,1.35,1.04,1292.1482/1235.3686/1264.4/No Horizontal Resistance/1159.8636/1297.5069/No EMA 200 Target,1010.3/343.55/1079.4257/822.3004/No F-Track Level/No F-Track Level/1000.89,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),1159.1,61.003582,20.0,1904300000.0,8609000000.0
"SFL.NS, Long, 2026-02-05 (Price: 610.55)",No Exit Yet,"-2.5%, 4 days","90.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-02-05",Already confirmed,"2026-02-09 (Price: 595.3), 2.5% below",4 days,"2, 2025-10-31 (Price: 699.35)",2026-02-03 (Price: 523.6),2026-02-05 (Price: 610.55),6/4/4 days,13.69% above/2.5% below/2.5% below,2025-10-31 (Price: 737.5203)/2026-02-05 (Price: 528.4189),12.54%/1.12%/4.43%,"17.09%, 33.18%",2.7 months/4 days/20 days,2026-06-02/2026-02-10/2026-03-05,1.92%,-1.21%,3.13%,0.42,-0.05,633.2625/637.5974/663.83/2003.625/1812.7564/1921.2981/651.74,504.95/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),610.0,75.67284,20.0,521300000.0,199400000.0
"STARCEMENT.NS, Long, 2026-02-05 (Price: 222.54)",No Exit Yet,"-4.4%, 4 days","70.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-02-05",Already confirmed,"2026-02-09 (Price: 212.75), 4.4% below",4 days,"2, 2025-10-03 (Price: 254.2)",2026-02-03 (Price: 219.43),2026-02-05 (Price: 222.54),6/4/4 days,3.04% below/4.4% below/4.4% below,2025-10-03 (Price: 278.586)/2026-02-05 (Price: 214.2476),11.05%/2.62%/6.46%,"6.42%, 19.14%",2.8 months/7 days/1.7 month,2026-06-06/2026-02-15/2026-04-19,7.78%,11.16%,-3.38%,0.39,0.55,231.8867/236.9161/241.54/242.93/327.6075/401.7712/236.78,211.5/103.275/209.6529/182.3934/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),221.3,23.940855,20.0,749210000.0,57408000.0
"UNIONBANK.NS, Long, 2026-02-05 (Price: 177.92)",No Exit Yet,"2.29%, 4 days","91.3%, Past 4 years, 23","Daily, is CONFIRMED on 2026-02-05",Already confirmed,"2026-02-09 (Price: 182.0), 2.29% above",4 days,"6, 2025-09-01 (Price: 128.16)",2026-02-04 (Price: 176.74),2026-02-05 (Price: 177.92),5/4/4 days,2.98% above/2.29% above/2.29% above,2025-09-01 (Price: 142.012)/2026-02-05 (Price: 172.9992),13.58%/1.6%/6.69%,"17.65%, 36.33%",1.5 month/7 days/20 days,2026-04-11/2026-02-15/2026-03-05,10.9%,11.87%,-0.97%,0.72,0.57,196.5482/189.8228/207.78/No Horizontal Resistance/539.7921/764.5187/No EMA 200 Target,171.13/33.075/142.2494/No support/No F-Track Level/No F-Track Level/145.41,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),176.11,7.2282257,20.0,50726900000.0,47509300000.0
"CEATLTD.NS, Long, 2026-02-04 (Price: 3912.8)",No Exit Yet,"2.79%, 5 days","95.83%, Past 4 years, 24","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-09 (Price: 4021.8999), 2.79% above",5 days,"4, 2025-10-21 (Price: 4289.7002)",2026-02-03 (Price: 3880.7),2026-02-04 (Price: 3912.8),6/5/5 days,3.64% above/2.79% above/2.79% above,2025-10-21 (Price: 4446.8302)/2026-02-04 (Price: 3811.0566),19.21%/1.46%/5.31%,"3.9%, 24.59%",4 months/6 days/1.5 month,2026-07-27/2026-02-12/2026-04-10,24.34%,17.32%,7.02%,0.92,0.82,4259.0828/4120.5697/4138.94/4044.0/4937.5719/5697.8144/No EMA 200 Target,3545.1/1265.1/3824.3322/3079.4707/No F-Track Level/No F-Track Level/3640.76,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),3880.7,29.260937,20.0,1557700000.0,1218800000.0
"FINEORG.NS, Long, 2026-02-04 (Price: 4526.0)",No Exit Yet,"-1.95%, 5 days","90.91%, Past 4 years, 22","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-09 (Price: 4437.7998), 1.95% below",5 days,"2, 2025-11-18 (Price: 4696.7002)",2026-02-02 (Price: 4265.7002),2026-02-04 (Price: 4526.0),7/5/5 days,4.03% above/1.95% below/1.95% below,2025-11-18 (Price: 4777.2439)/2026-02-04 (Price: 4148.4812),6.85%/1.13%/3.55%,"10.82%, 33.01%",3.6 months/6 days/21 days,2026-07-10/2026-02-12/2026-03-06,13.51%,9.88%,3.63%,0.45,0.49,4704.777/4686.673/4628.42/6049.375/7126.5561/8749.684/4602.86,3886.8/2762.0999/3902.6753/3301.8591/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),4500.0,35.228886,20.0,1085463000.0,1174413000.0
"HEROMOTOCO.NS, Long, 2026-02-04 (Price: 5845.0)",No Exit Yet,"-1.91%, 5 days","85.71%, Past 4 years, 28","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-09 (Price: 5733.5), 1.91% below",5 days,"2, 2025-12-04 (Price: 6340.0)",2026-02-03 (Price: 5763.0),2026-02-04 (Price: 5845.0),6/5/5 days,0.51% below/1.91% below/1.91% below,2025-12-04 (Price: 6414.0872)/2026-02-04 (Price: 5694.2661),9.6%/1.45%/6.26%,"21.53%, 34.5%",3.4 months/6 days/26 days,2026-07-01/2026-02-12/2026-03-13,14.92%,10.45%,4.47%,0.67,0.55,6262.9175/6210.897/6142.0/6317.375/6967.7432/7905.3337/No EMA 200 Target,5380.0/2278.0/5470.4734/3936.2706/No F-Track Level/No F-Track Level/5050.21,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),5747.0,21.17515,20.0,12675500000.0,11075500000.0
