Symbol,Signal_Type,Signal_Date,Signal_Price,Win_Rate,Number_Of_Trades,Win_Rate_Display,Today_Price,Exit_Signal_Raw,Function,Interval,PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit,Strategy_CAGR,Strategy_Sharpe,TrendPulse_Start_End,TrendPulse_Start_Price,TrendPulse_End_Price,Exit_Date,Exit_Price,Dedup_Key
NAVINFLUOR.NS,Long,2026-02-09,6552.0,80.0,15,80.00%,6435.5,No Exit Yet,Trendline,Daily,59.693737,20.0,1854000000.0,588200000.0,6.66,-0.03,2024-04-16 (Price: 4876.0769)/2026-02-09 (Price: 6347.2308),4876.0769,6347.2308,,,Trendline|NAVINFLUOR.NS|2026-02-09|LONG|Daily
POWERGRID.NS,Short,2026-02-06,292.75,100.0,5,100.00%,293.75,No Exit Yet,Distance,Daily,18.91137,16.0,41849600000.0,37930200000.0,8.89,4.11,,,,,,Distance|POWERGRID.NS|2026-02-06|SHORT|Daily
GATEWAY.NS,Long,2026-02-06,60.74,78.57,14,78.57%,64.26000213623047,No Exit Yet,Trendline,Daily,2135.6667,20.0,678439000.0,599121000.0,-11.92,-0.09,2025-07-10 (Price: 77.2787)/2026-02-06 (Price: 59.7697),77.2787,59.7697,,,Trendline|GATEWAY.NS|2026-02-06|LONG|Daily
CUMMINSIND.NS,Long,2026-02-06,4368.3999,86.96,23,86.96%,4374.89990234375,No Exit Yet,Trendline,Daily,53.96661,20.0,4860600000.0,4493700000.0,20.74,0.88,2025-12-08 (Price: 4736.8665)/2026-02-06 (Price: 4008.0167),4736.8665,4008.0167,,,Trendline|CUMMINSIND.NS|2026-02-06|LONG|Daily
GLAXO.NS,Long,2026-02-06,2484.0,88.46,26,88.46%,2707.0,No Exit Yet,Trendline,Daily,44.74225,20.0,2956200000.0,2525000000.0,18.36,0.87,2025-12-08 (Price: 2656.2392)/2026-02-06 (Price: 2400.2013),2656.2392,2400.2013,,,Trendline|GLAXO.NS|2026-02-06|LONG|Daily
IONEXCHANG.NS,Long,2026-02-06,378.6,100.0,11,100.00%,394.25,No Exit Yet,Trendline,Daily,25.608725,20.0,203000000.0,509400000.0,26.45,0.95,2025-12-15 (Price: 417.0798)/2026-02-06 (Price: 350.9753),417.0798,350.9753,,,Trendline|IONEXCHANG.NS|2026-02-06|LONG|Daily
LICI.NS,Long,2026-02-06,901.85,100.0,24,100.00%,878.0999755859375,No Exit Yet,Trendline,Daily,10.442615,20.0,129304400000.0,77286800000.0,38.9,0.8,2025-10-24 (Price: 938.2974)/2026-02-06 (Price: 834.4682),938.2974,834.4682,,,Trendline|LICI.NS|2026-02-06|LONG|Daily
MANAPPURAM.NS,Long,2026-02-06,300.9,95.65,23,95.65%,304.95001220703125,No Exit Yet,Trendline,Daily,64.37234,10.0,2410600000.0,5706500000.0,22.81,1.64,2024-04-16 (Price: 296.8397)/2026-02-06 (Price: 291.4086),296.8397,291.4086,,,Trendline|MANAPPURAM.NS|2026-02-06|LONG|Daily
PAGEIND.NS,Long,2026-02-06,35560.0,81.25,16,81.25%,34540.0,No Exit Yet,Trendline,Daily,51.188847,20.0,1895364000.0,2046550000.0,4.5,-0.07,2025-09-25 (Price: 43766.6729)/2026-02-06 (Price: 35032.2744),43766.6729,35032.2744,,,Trendline|PAGEIND.NS|2026-02-06|LONG|Daily
ARVIND.NS,Short,2026-02-06,368.15,100.0,7,100.00%,357.70001220703125,No Exit Yet,Distance,Daily,23.236246,20.0,975900000.0,1034200000.0,11.54,2.28,,,,,,Distance|ARVIND.NS|2026-02-06|SHORT|Daily
SAIL.NS,Long,2026-02-06,160.52,73.91,23,73.91%,162.14999389648438,No Exit Yet,Trendline,Daily,26.23301,20.0,7445800000.0,817800000.0,10.91,-0.08,2025-11-03 (Price: 145.0094)/2026-02-06 (Price: 155.867),145.0094,155.867,,,Trendline|SAIL.NS|2026-02-06|LONG|Daily
INDIAMART.NS,Long,2026-02-05,2282.8,94.44,18,94.44%,2231.0,No Exit Yet,Trendline,Daily,22.342863,20.0,1883100000.0,1351000000.0,7.54,1.47,2025-10-23 (Price: 2533.0132)/2026-02-05 (Price: 2263.6884),2533.0132,2263.6884,,,Trendline|INDIAMART.NS|2026-02-05|LONG|Daily
DMART.NS,Long,2026-02-05,3934.8999,91.18,34,91.18%,4000.10009765625,No Exit Yet,Trendline,Daily,90.951836,20.0,8559200000.0,6595800000.0,18.25,0.57,2025-08-12 (Price: 4945.7318)/2026-02-05 (Price: 3767.1298),4945.7318,3767.1298,,,Trendline|DMART.NS|2026-02-05|LONG|Daily
CHENNPETRO.NS,Long,2026-02-05,894.4,100.0,11,100.00%,928.0999755859376,No Exit Yet,Trendline,Daily,6.413736,20.0,10015900000.0,-6336900000.0,25.05,2.04,2025-12-05 (Price: 958.2411)/2026-02-05 (Price: 864.1161),958.2411,864.1161,,,Trendline|CHENNPETRO.NS|2026-02-05|LONG|Daily
SFL.NS,Long,2026-02-05,610.55,90.0,20,90.00%,608.7000122070312,No Exit Yet,Trendline,Daily,75.16687,20.0,521300000.0,199400000.0,1.92,0.42,2025-10-31 (Price: 737.5203)/2026-02-05 (Price: 528.4189),737.5203,528.4189,,,Trendline|SFL.NS|2026-02-05|LONG|Daily
STARCEMENT.NS,Long,2026-02-05,222.54,70.0,20,70.00%,218.2400054931641,No Exit Yet,Trendline,Daily,24.074644,20.0,749210000.0,57408000.0,7.78,0.39,2025-10-03 (Price: 278.586)/2026-02-05 (Price: 214.2476),278.586,214.2476,,,Trendline|STARCEMENT.NS|2026-02-05|LONG|Daily
UNIONBANK.NS,Long,2026-02-05,177.92,91.3,23,91.30%,180.1699981689453,No Exit Yet,Trendline,Daily,7.2684402,20.0,50726900000.0,47509300000.0,10.9,0.72,2025-09-01 (Price: 142.012)/2026-02-05 (Price: 172.9992),142.012,172.9992,,,Trendline|UNIONBANK.NS|2026-02-05|LONG|Daily
JINDALSTEL.NS,Long,2026-02-05,1178.0,96.67,30,96.67%,1194.800048828125,No Exit Yet,Trendline,Daily,60.926304,20.0,1904300000.0,8609000000.0,26.03,1.35,2025-12-15 (Price: 1036.5)/2026-02-05 (Price: 1166.34),1036.5,1166.34,,,Trendline|JINDALSTEL.NS|2026-02-05|LONG|Daily
FINEORG.NS,Long,2026-02-04,4526.0,90.91,22,90.91%,4611.2001953125,No Exit Yet,Trendline,Daily,34.933937,20.0,1085463000.0,1174413000.0,13.51,0.45,2025-11-18 (Price: 4777.2439)/2026-02-04 (Price: 4148.4812),4777.2439,4148.4812,,,Trendline|FINEORG.NS|2026-02-04|LONG|Daily
KPITTECH.NS,Long,2026-02-04,981.9,91.67,12,91.67%,960.7999877929688,No Exit Yet,Distance,Daily,36.49296,20.0,1333040000.0,1869700000.0,30.89,1.03,,,,,,Distance|KPITTECH.NS|2026-02-04|LONG|Daily
THYROCARE.NS,Long,2026-02-04,393.1,72.73,11,72.73%,404.9500122070313,No Exit Yet,Distance,Daily,46.408047,20.0,290100000.0,191100000.0,8.76,0.23,,,,,,Distance|THYROCARE.NS|2026-02-04|LONG|Daily
ICICIPRULI.NS,Long,2026-02-04,660.5,95.65,23,95.65%,641.0,No Exit Yet,Trendline,Daily,67.8254,20.0,3871500000.0,2509900000.0,20.66,1.19,2024-04-12 (Price: 814.0495)/2026-02-04 (Price: 639.621),814.0495,639.621,,,Trendline|ICICIPRULI.NS|2026-02-04|LONG|Daily
HEROMOTOCO.NS,Long,2026-02-04,5845.0,85.71,28,85.71%,5695.0,No Exit Yet,Trendline,Daily,20.880796,20.0,12675500000.0,11075500000.0,14.92,0.67,2025-12-04 (Price: 6414.0872)/2026-02-04 (Price: 5694.2661),6414.0872,5694.2661,,,Trendline|HEROMOTOCO.NS|2026-02-04|LONG|Daily
JSWSTEEL.NS,Long,2026-02-04,1231.6,95.0,20,95.00%,1251.800048828125,No Exit Yet,Trendline,Daily,40.98425,20.0,21390000000.0,4390000000.0,17.32,1.72,2025-11-26 (Price: 1183.2827)/2026-02-04 (Price: 1208.8718),1183.2827,1208.8718,,,Trendline|JSWSTEEL.NS|2026-02-04|LONG|Daily
ORIENTCEM.NS,Long,2026-02-04,165.3,87.5,24,87.50%,166.77999877929688,No Exit Yet,Trendline,Daily,10.529746,20.0,277994000.0,23247000.0,25.44,0.78,2025-07-24 (Price: 273.2033)/2026-02-04 (Price: 160.763),273.2033,160.763,,,Trendline|ORIENTCEM.NS|2026-02-04|LONG|Daily
POWERGRID.NS,Long,2026-02-04,289.3,80.95,21,80.95%,293.75,No Exit Yet,Trendline,Daily,18.91137,16.0,41849600000.0,37930200000.0,6.77,0.28,2025-12-12 (Price: 266.8)/2026-02-04 (Price: 281.425),266.8,281.425,,,Trendline|POWERGRID.NS|2026-02-04|LONG|Daily
PTC.NS,Long,2026-02-04,182.09,93.75,16,93.75%,190.4900054931641,No Exit Yet,Trendline,Daily,6.3855705,16.0,1911900000.0,2172400000.0,2.71,0.54,2025-08-29 (Price: 177.537)/2026-02-04 (Price: 167.5352),177.537,167.5352,,,Trendline|PTC.NS|2026-02-04|LONG|Daily
SUPREMEIND.NS,Long,2026-02-04,3709.8999,80.0,30,80.00%,3848.699951171875,No Exit Yet,Trendline,Daily,59.940826,20.0,1533700000.0,2066000000.0,13.78,0.11,2025-08-11 (Price: 4763.6847)/2026-02-04 (Price: 3446.5545),4763.6847,3446.5545,,,Trendline|SUPREMEIND.NS|2026-02-04|LONG|Daily
TIMKEN.NS,Long,2026-02-04,3252.8999,78.95,19,78.95%,3206.699951171875,No Exit Yet,Trendline,Daily,55.52156,20.0,545560000.0,899480000.0,4.99,0.41,2025-10-20 (Price: 3190.8798)/2026-02-04 (Price: 3078.5603),3190.8798,3078.5603,,,Trendline|TIMKEN.NS|2026-02-04|LONG|Daily
CEATLTD.NS,Long,2026-02-04,3912.8,95.83,24,95.83%,4098.60009765625,No Exit Yet,Trendline,Daily,29.669416,20.0,1557700000.0,1218800000.0,24.34,0.92,2025-10-21 (Price: 4446.8302)/2026-02-04 (Price: 3811.0566),4446.8302,3811.0566,,,Trendline|CEATLTD.NS|2026-02-04|LONG|Daily
PHOENIXLTD.NS,Long,2026-02-03,1679.4,75.0,4,75.00%,1776.5999755859375,2026-02-06 (Price: 1735.2),Distance,Daily,58.626354,20.0,2757906000.0,2180977000.0,17.31,0.3,,,,2026-02-06,1735.2,Distance|PHOENIXLTD.NS|2026-02-03|LONG|Daily
NAUKRI.NS,Long,2026-02-03,1250.7,92.31,13,92.31%,1175.699951171875,2026-02-06 (Price: 1130.4),Distance,Daily,57.71921,20.0,3163950000.0,232590000.0,20.26,0.84,,,,2026-02-06,1130.4,Distance|NAUKRI.NS|2026-02-03|LONG|Daily
APOLLOTYRE.NS,Long,2026-02-03,483.05,81.82,11,81.82%,511.7000122070313,2026-02-04 (Price: 510.4),Distance,Daily,34.873375,20.0,4705180000.0,3372450000.0,11.31,0.57,,,,2026-02-04,510.4,Distance|APOLLOTYRE.NS|2026-02-03|LONG|Daily
ABCAPITAL.NS,Long,2026-02-03,333.05,81.82,11,81.82%,345.1000061035156,2026-02-04 (Price: 345.7),Distance,Daily,25.941973,20.0,9450200000.0,10009000000.0,8.47,0.23,,,,2026-02-04,345.7,Distance|ABCAPITAL.NS|2026-02-03|LONG|Daily
FINEORG.NS,Long,2026-02-02,4265.7002,90.91,22,90.91%,4611.2001953125,2026-02-06 (Price: 4412.7998),Trendline,Daily,34.933937,20.0,1085463000.0,1174413000.0,13.51,0.45,2025-11-14 (Price: 4800.5314)/2026-02-02 (Price: 4171.7687),4800.5314,4171.7687,2026-02-06,4412.7998,Trendline|FINEORG.NS|2026-02-02|LONG|Daily
SUPREMEIND.NS,Long,2026-02-02,3600.8,80.0,30,80.00%,3848.699951171875,2026-02-06 (Price: 3678.6001),Trendline,Daily,59.940826,20.0,1533700000.0,2066000000.0,13.78,0.11,2025-08-07 (Price: 4785.6368)/2026-02-02 (Price: 3468.5067),4785.6368,3468.5067,2026-02-06,3678.6001,Trendline|SUPREMEIND.NS|2026-02-02|LONG|Daily
ARE&M.NS,Short,2026-02-02,816.4,100.0,9,100.00%,908.4500122070312,2026-02-04 (Price: 876.85),Trendline,Daily,18.50416,20.0,1648000000.0,2491200000.0,9.48,3.92,2025-10-17 (Price: 989.8875)/2026-02-02 (Price: 841.3665),989.8875,841.3665,2026-02-04,876.85,Trendline|ARE&M.NS|2026-02-02|SHORT|Daily
KOTAKBANK.NS,Long,2026-02-02,408.2,87.5,8,87.50%,430.0,2026-02-06 (Price: 422.35),Distance,Daily,22.739544,20.0,49242900000.0,47010200000.0,8.06,0.71,,,,2026-02-06,422.35,Distance|KOTAKBANK.NS|2026-02-02|LONG|Daily
ARVIND.NS,Long,2026-02-01,330.25,90.48,21,90.48%,357.70001220703125,2026-02-06 (Price: 368.15),Trendline,Daily,23.236246,20.0,975900000.0,1034200000.0,32.52,0.75,2025-11-24 (Price: 367.7404)/2026-02-01 (Price: 290.2942),367.7404,290.2942,2026-02-06,368.15,Trendline|ARVIND.NS|2026-02-01|LONG|Daily
BERGEPAINT.NS,Long,2026-02-01,462.85,81.25,16,81.25%,455.7000122070313,2026-02-04 (Price: 477.65),Distance,Daily,50.71903,20.0,2711600000.0,2696600000.0,9.18,0.27,,,,2026-02-04,477.65,Distance|BERGEPAINT.NS|2026-02-01|LONG|Daily
BLS.NS,Long,2026-01-30,257.45,85.71,7,85.71%,284.25,2026-02-04 (Price: 290.05),Distance,Daily,18.231903,20.0,1626747000.0,1206695000.0,25.81,0.51,,,,2026-02-04,290.05,Distance|BLS.NS|2026-01-30|LONG|Daily
MARUTI.NS,Long,2026-01-30,14599.0,70.0,10,70.00%,15393.0,2026-02-04 (Price: 15135.0),Distance,Daily,32.406746,20.0,38791000000.0,31025000000.0,4.88,0.06,,,,2026-02-04,15135.0,Distance|MARUTI.NS|2026-01-30|LONG|Daily
DELHIVERY.NS,Long,2026-01-30,422.95,100.0,19,100.00%,429.3500061035156,2026-02-05 (Price: 444.1),Trendline,Daily,213.6816,20.0,395890000.0,102040000.0,37.01,1.27,2025-10-16 (Price: 494.509)/2026-01-30 (Price: 408.6231),494.509,408.6231,2026-02-05,444.1,Trendline|DELHIVERY.NS|2026-01-30|LONG|Daily
ABB.NS,Long,2026-01-30,5578.5,100.0,31,100.00%,5816.0,2026-02-06 (Price: 5816.0),Trendline,Daily,69.89202,20.0,3517400000.0,4434900000.0,30.65,1.44,2025-11-13 (Price: 5180.9785)/2026-01-30 (Price: 5454.2804),5180.9785,5454.2804,2026-02-06,5816.0,Trendline|ABB.NS|2026-01-30|LONG|Daily
CONCOR.NS,Long,2026-01-29,500.6,100.0,17,100.00%,514.5,2026-02-06 (Price: 509.5),Trendline,Daily,30.681953,20.0,3339100000.0,3666500000.0,17.15,1.25,2025-05-13 (Price: 668.1356)/2026-01-29 (Price: 488.4737),668.1356,488.4737,2026-02-06,509.5,Trendline|CONCOR.NS|2026-01-29|LONG|Daily
RAMCOCEM.NS,Long,2026-01-29,1102.0,88.46,26,88.46%,1150.699951171875,2026-02-06 (Price: 1160.9),Trendline,Daily,47.382717,20.0,3855900000.0,257000000.0,18.67,0.83,2025-07-01 (Price: 1226.4422)/2026-01-29 (Price: 1035.6321),1226.4422,1035.6321,2026-02-06,1160.9,Trendline|RAMCOCEM.NS|2026-01-29|LONG|Daily
POONAWALLA.NS,Long,2026-01-29,399.9,75.0,12,75.00%,487.6499938964844,2026-02-04 (Price: 419.2),Distance,Daily,109.46309,10.0,1502200000.0,-4710400000.0,11.15,0.26,,,,2026-02-04,419.2,Distance|POONAWALLA.NS|2026-01-29|LONG|Daily
BHARTIARTL.NS,Long,2026-01-29,1967.9,85.71,7,85.71%,2016.5,2026-02-04 (Price: 2027.0),Distance,Daily,39.702053,20.0,66305000000.0,35932000000.0,9.05,0.63,,,,2026-02-04,2027.0,Distance|BHARTIARTL.NS|2026-01-29|LONG|Daily
KARURVYSYA.NS,Long,2026-01-28,293.8,100.0,16,100.00%,322.0,2026-02-06 (Price: 318.1),Trendline,Daily,13.408995,20.0,6899600000.0,4736000000.0,27.7,1.53,2025-11-19 (Price: 253.535)/2026-01-28 (Price: 290.0079),253.535,290.0079,2026-02-06,318.1,Trendline|KARURVYSYA.NS|2026-01-28|LONG|Daily
AFFLE.NS,Long,2026-01-28,1561.6,80.0,10,80.00%,1650.9000244140625,2026-02-04 (Price: 1654.8),Distance,Daily,53.030205,20.0,1193240000.0,919910000.0,9.27,0.36,,,,2026-02-04,1654.8,Distance|AFFLE.NS|2026-01-28|LONG|Daily
ADANIPOWER.NS,Long,2026-01-28,134.72,85.71,7,85.71%,149.86000061035156,2026-02-04 (Price: 155.16),Distance,Daily,25.75256,16.0,24795800000.0,33318000000.0,11.08,0.27,,,,2026-02-04,155.16,Distance|ADANIPOWER.NS|2026-01-28|LONG|Daily
SONACOMS.NS,Long,2026-01-28,494.1,92.86,14,92.86%,539.5999755859375,2026-02-06 (Price: 513.5),Trendline,Daily,54.45344,20.0,1507750000.0,1439450000.0,16.73,1.54,2025-11-19 (Price: 522.7274)/2026-01-28 (Price: 478.707),522.7274,478.707,2026-02-06,513.5,Trendline|SONACOMS.NS|2026-01-28|LONG|Daily
ICICIBANK.NS,Long,2026-01-28,1367.7,100.0,17,100.00%,1406.0999755859375,2026-02-06 (Price: 1406.1),Trendline,Daily,19.188046,20.0,125379800000.0,128833700000.0,14.19,1.15,2025-07-25 (Price: 1502.5953)/2026-01-28 (Price: 1360.1577),1502.5953,1360.1577,2026-02-06,1406.1,Trendline|ICICIBANK.NS|2026-01-28|LONG|Daily
HAVELLS.NS,Long,2026-01-27,1288.9,90.91,11,90.91%,1387.5,2026-02-04 (Price: 1340.7),Distance,Daily,58.265266,20.0,3007800000.0,2682300000.0,13.27,0.96,,,,2026-02-04,1340.7,Distance|HAVELLS.NS|2026-01-27|LONG|Daily
ONGC.NS,Long,2026-01-27,247.95,91.67,24,91.67%,269.70001220703125,2026-02-06 (Price: 268.95),Trendline,Daily,9.429945,20.0,107848800000.0,102354600000.0,19.99,0.38,2025-10-13 (Price: 260.4751)/2026-01-27 (Price: 243.4091),260.4751,243.4091,2026-02-06,268.95,Trendline|ONGC.NS|2026-01-27|LONG|Daily
FORTIS.NS,Long,2026-01-23,844.0,85.71,7,85.71%,922.7999877929688,2026-02-09 (Price: 869.7) (Today),Distance,Daily,68.21455,20.0,3219200000.0,1764600000.0,11.26,0.73,,,,2026-02-09,869.7,Distance|FORTIS.NS|2026-01-23|LONG|Daily
APOLLOHOSP.NS,Long,2026-01-23,6803.0,91.67,12,91.67%,7570.0,2026-02-04 (Price: 7130.5),Distance,Daily,59.76435,20.0,4328000000.0,3052000000.0,13.12,1.17,,,,2026-02-04,7130.5,Distance|APOLLOHOSP.NS|2026-01-23|LONG|Daily
ESCORTS.NS,Long,2026-01-21,3575.3999,77.78,9,77.78%,3697.199951171875,2026-02-05 (Price: 3714.1001),Distance,Daily,30.873997,20.0,13971100000.0,3016500000.0,8.2,0.3,,,,2026-02-05,3714.1001,Distance|ESCORTS.NS|2026-01-21|LONG|Daily
PRESTIGE.NS,Long,2026-01-15,1500.2,75.0,8,75.00%,1597.0,2026-02-06 (Price: 1555.9),Distance,Daily,71.189835,20.0,2226000000.0,177000000.0,8.27,0.13,,,,2026-02-06,1555.9,Distance|PRESTIGE.NS|2026-01-15|LONG|Daily
VARROC.NS,Long,2026-01-15,566.7,71.43,14,71.43%,573.5499877929688,2026-02-04 (Price: 612.5),Distance,Daily,49.848225,20.0,-102970000.0,-474260000.0,5.87,0.09,,,,2026-02-04,612.5,Distance|VARROC.NS|2026-01-15|LONG|Daily
GRINDWELL.NS,Long,2026-01-13,1577.7,78.57,28,78.57%,1666.0999755859375,2026-02-09 (Price: 1665.8) (Today),Trendline,Daily,47.47653,20.0,951676000.0,961866000.0,20.43,0.6,2025-10-27 (Price: 1760.5037)/2026-01-13 (Price: 1549.6826),1760.5037,1549.6826,2026-02-09,1665.8,Trendline|GRINDWELL.NS|2026-01-13|LONG|Daily
HDFCBANK.NS,Long,2026-01-12,936.95,81.82,11,81.82%,925.5999755859376,2026-02-04 (Price: 954.4),Distance,Daily,20.671125,20.0,162579100000.0,164748500000.0,7.03,0.29,,,,2026-02-04,954.4,Distance|HDFCBANK.NS|2026-01-12|LONG|Daily
CUMMINSIND.NS,Long,2026-01-09,4116.7002,88.89,9,88.89%,4374.89990234375,2026-02-05 (Price: 4391.3999),Distance,Daily,53.96661,20.0,4860600000.0,4493700000.0,9.86,0.61,,,,2026-02-05,4391.3999,Distance|CUMMINSIND.NS|2026-01-09|LONG|Daily
CEATLTD.NS,Long,2026-01-08,3850.6001,95.83,24,95.83%,4098.60009765625,2026-02-09 (Price: 4021.8999) (Today),Trendline,Daily,29.669416,20.0,1557700000.0,1218800000.0,24.34,0.92,2025-10-21 (Price: 4429.1329)/2026-01-08 (Price: 3753.4494),4429.1329,3753.4494,2026-02-09,4021.8999,Trendline|CEATLTD.NS|2026-01-08|LONG|Daily
GRINDWELL.NS,Long,2026-01-06,1599.9,78.57,28,78.57%,1666.0999755859375,2026-02-09 (Price: 1665.8) (Today),Trendline,Daily,47.47653,20.0,951676000.0,961866000.0,20.43,0.6,2025-10-28 (Price: 1756.5996)/2026-01-06 (Price: 1569.2031),1756.5996,1569.2031,2026-02-09,1665.8,Trendline|GRINDWELL.NS|2026-01-06|LONG|Daily
POWERGRID.NS,Long,2026-01-05,271.65,80.95,21,80.95%,293.75,2026-02-06 (Price: 292.75),Trendline,Daily,18.91137,16.0,41849600000.0,37930200000.0,6.77,0.28,2025-10-27 (Price: 294.0391)/2026-01-05 (Price: 262.8352),294.0391,262.8352,2026-02-06,292.75,Trendline|POWERGRID.NS|2026-01-05|LONG|Daily
ASTRAL.NS,Long,2026-01-02,1453.4,100.0,20,100.00%,1593.300048828125,2026-02-06 (Price: 1472.2),Trendline,Daily,85.184586,20.0,1077000000.0,1100000000.0,23.78,2.02,2025-11-12 (Price: 1598.8)/2026-01-02 (Price: 1408.0),1598.8,1408.0,2026-02-06,1472.2,Trendline|ASTRAL.NS|2026-01-02|LONG|Daily
STARHEALTH.NS,Long,2025-12-31,455.0,100.0,6,100.00%,479.6499938964844,2026-02-05 (Price: 464.9),Trendline,Daily,63.293804,20.0,1282200000.0,1112900000.0,7.03,2.05,2025-11-10 (Price: 548.325)/2025-12-31 (Price: 445.185),548.325,445.185,2026-02-05,464.9,Trendline|STARHEALTH.NS|2025-12-31|LONG|Daily
GRINDWELL.NS,Long,2025-12-30,1597.0,78.57,28,78.57%,1666.0999755859375,2026-02-09 (Price: 1665.8) (Today),Trendline,Daily,47.47653,20.0,951676000.0,961866000.0,20.43,0.6,2025-10-29 (Price: 1757.9704)/2025-12-30 (Price: 1565.3926),1757.9704,1565.3926,2026-02-09,1665.8,Trendline|GRINDWELL.NS|2025-12-30|LONG|Daily
ADANIPORTS.NS,Long,2025-12-19,1496.4,85.71,21,85.71%,1552.4000244140625,2026-02-09 (Price: 1564.2) (Today),Trendline,Daily,26.931345,20.0,30536100000.0,24450000000.0,13.7,0.11,2024-02-23 (Price: 1506.4663)/2025-12-19 (Price: 1488.7697),1506.4663,1488.7697,2026-02-09,1564.2,Trendline|ADANIPORTS.NS|2025-12-19|LONG|Daily
SONACOMS.NS,Long,2025-12-12,492.5,92.86,14,92.86%,539.5999755859375,2026-02-06 (Price: 513.5),Trendline,Daily,54.45344,20.0,1507750000.0,1439450000.0,16.73,1.54,2025-05-19 (Price: 554.812)/2025-12-12 (Price: 468.024),554.812,468.024,2026-02-06,513.5,Trendline|SONACOMS.NS|2025-12-12|LONG|Daily
ATUL.NS,Long,2025-11-18,6146.0,90.48,21,90.48%,6680.0,2026-02-06 (Price: 6459.0),Trendline,Daily,32.993366,20.0,1607400000.0,1368100000.0,11.38,0.44,2025-08-20 (Price: 6699.6975)/2025-11-18 (Price: 5889.5435),6699.6975,5889.5435,2026-02-06,6459.0,Trendline|ATUL.NS|2025-11-18|LONG|Daily
