"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price,PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit
"MAXHEALTH.NS, Long, 2026-01-30 (Price: 956.8)",2026-02-03 (Price: 1003.5),"4.88%, 4 days","80.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-06 (Price: 1039.85), 8.68% above",7 days,8.35%/3.83%/5.92%,"7.07%, 7.12%",1.1 month/2 days/10 days,2026-03-18/2026-02-01/2026-02-13,13.3%,29.57%,-16.27%,0.59,1.41,1045.6867/1013.4426/1029.56/1224.925/1328.2016/1521.226/1149.92,952.6/324.0/867.4425/793.3588/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),945.0,71.41827,20.0,3009200000.0,2388000000.0
"MRF.NS, Long, 2026-01-30 (Price: 132165.0)",2026-02-03 (Price: 136650.0),"3.39%, 4 days","75.0%, Past 4 years, 8","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-06 (Price: 146455.0), 10.81% above",7 days,3.45%/2.03%/2.84%,"9.06%, 10.02%",1.2 month/4 days/15 days,2026-03-23/2026-02-04/2026-02-20,4.76%,8.46%,-3.7%,0.06,0.48,142606.035/135918.486/139262.26/147622.7625/172055.1324/190522.286/146818.1,130915.0/77211.1/123826.6135/118378.5068/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),130900.0,27.855177,20.0,5256400000.0,4707000000.0
"BHARTIARTL.NS, Long, 2026-01-29 (Price: 1967.9)",2026-02-04 (Price: 2027.0),"3.0%, 6 days","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2026-01-29",Already confirmed,"2026-02-06 (Price: 2038.4), 3.58% above",8 days,3.98%/1.83%/2.94%,"4.08%, 8.47%",2.7 months/1 day/18 days,2026-05-26/2026-01-30/2026-02-24,9.05%,20.53%,-11.48%,0.63,1.33,2113.9182/2025.7563/2069.84/No Horizontal Resistance/2116.8736/3287.1475/No EMA 200 Target,1957.7/637.6167/1393.6054/946.5997/No F-Track Level/No F-Track Level/1967.37,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),1964.0,40.324432,20.0,66305000000.0,35932000000.0
"POONAWALLA.NS, Long, 2026-01-29 (Price: 399.9)",2026-02-04 (Price: 419.2),"4.83%, 6 days","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-01-29",Already confirmed,"2026-02-06 (Price: 431.5), 7.9% above",8 days,11.16%/2.76%/6.72%,"12.28%, 13.37%",1 month/1 day/8 days,2026-03-13/2026-01-30/2026-02-09,11.15%,39.68%,-28.53%,0.26,1.69,433.6516/426.7733/430.21/516.85/620.0283/703.818/448.89,369.55/212.5333/277.084/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),406.3,97.184685,10.0,1502200000.0,-4710400000.0
"ADANIPOWER.NS, Long, 2026-01-28 (Price: 134.72)",2026-02-04 (Price: 155.16),"15.17%, 7 days","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2026-01-28",Already confirmed,"2026-02-06 (Price: 152.74), 13.38% above",9 days,19.51%/2.49%/6.8%,"18.73%, 18.73%",10 days/1 day/5 days,2026-02-11/2026-01-29/2026-02-04,11.08%,42.56%,-31.48%,0.27,1.66,152.7186/143.881/148.3/180.935/235.619/256.0131/No EMA 200 Target,132.96/26.79/115.8715/92.7116/No F-Track Level/No F-Track Level/131.47,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),135.14,26.020445,16.0,24795800000.0,33318000000.0
"AFFLE.NS, Long, 2026-01-28 (Price: 1561.6)",2026-02-04 (Price: 1654.8),"5.97%, 7 days","80.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-01-28",Already confirmed,"2026-02-06 (Price: 1647.4), 5.49% above",9 days,7.91%/2.61%/4.97%,"10.13%, 10.13%",24 days/1 day/9 days,2026-03-03/2026-01-29/2026-02-10,9.27%,12.16%,-2.89%,0.36,0.6,1607.0426/1639.2115/1623.13/1742.2667/2535.8232/3048.6234/1823.29,1538.1/869.025/1544.3866/1288.7513/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),1538.1,52.90302,20.0,1193240000.0,919910000.0
"ENDURANCE.NS, Long, 2026-01-28 (Price: 2394.8)",2026-02-03 (Price: 2508.1001),"4.73%, 6 days","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2026-01-28",Already confirmed,"2026-02-06 (Price: 2445.3999), 2.11% above",9 days,4.95%/3.42%/4.23%,"10.2%, 10.2%",1.6 month/5 days/16 days,2026-04-07/2026-02-04/2026-02-20,8.47%,9.05%,-0.58%,0.38,0.47,2441.9776/2496.1/2469.04/3057.0666/2997.9171/3242.013/2608.61,2334.1/1254.2/2269.3871/2083.997/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),2339.8999,38.908512,20.0,2272700000.0,2029800000.0
"JUBLINGREA.NS, Long, 2026-01-28 (Price: 633.9)",2026-02-03 (Price: 666.35),"5.12%, 6 days","70.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-01-28",Already confirmed,"2026-02-06 (Price: 613.55), 3.21% below",9 days,8.18%/2.1%/4.9%,"18.6%, 21.95%",1.7 month/3 days/18 days,2026-04-11/2026-02-01/2026-02-23,-1.81%,14.79%,-16.6%,-0.16,0.68,690.5707/664.9611/677.77/842.5167/923.1644/1009.374/707.93,621.6/404.3375/525.8612/439.9908/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),624.9,36.62985,20.0,469000000.0,590000000.0
"GODREJPROP.NS, Long, 2026-01-27 (Price: 1517.9)",2026-02-03 (Price: 1699.4),"11.96%, 7 days","90.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-01-27",Already confirmed,"2026-02-06 (Price: 1699.8), 11.98% above",10 days,5.9%/3.35%/4.87%,"8.39%, 14.41%",2.6 months/2 days/22 days,2026-05-19/2026-01-29/2026-02-27,13.49%,4.38%,9.11%,0.89,0.26,1531.4093/1591.8217/1561.62/3400.85/3689.1873/3872.9507/2108.69,No Recent Minima/1130.275/1509.5133/1375.1169/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),1548.9,32.364815,20.0,1951600000.0,3352100000.0
"HAVELLS.NS, Long, 2026-01-27 (Price: 1288.9)",2026-02-04 (Price: 1340.7),"4.02%, 8 days","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-27",Already confirmed,"2026-02-06 (Price: 1355.0), 5.13% above",10 days,7.95%/2.53%/4.16%,"5.97%, 7.25%",1.9 month/2 days/20 days,2026-04-19/2026-01-29/2026-02-24,13.27%,5.45%,7.82%,0.96,0.28,1420.7545/1342.5182/1381.64/1680.675/2575.7178/2791.7076/1498.0,1287.0/964.0/1280.7726/1072.8948/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),1289.0,57.148884,20.0,3007800000.0,2682300000.0
"OBEROIRLTY.NS, Long, 2026-01-27 (Price: 1467.6)",2026-02-03 (Price: 1528.0),"4.12%, 7 days","81.82%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-27",Already confirmed,"2026-02-06 (Price: 1532.6), 4.43% above",10 days,5.37%/3.19%/4.24%,"14.24%, 15.87%",2.6 months/2 days/23 days,2026-05-19/2026-01-29/2026-03-01,6.89%,15.89%,-9.0%,0.17,0.78,1492.696/1529.8262/1511.26/1979.025/2405.014/3042.5997/1689.88,1453.9/798.34/1301.1345/1073.2604/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),1454.8,24.875832,20.0,6226400000.0,5894400000.0
"APOLLOHOSP.NS, Long, 2026-01-23 (Price: 6803.0)",2026-02-04 (Price: 7130.5),"4.81%, 12 days","91.67%, Past 4 years, 12","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-02-06 (Price: 7152.5), 5.14% above",14 days,5.65%/2.05%/3.7%,"4.63%, 8.51%",1.4 month/3 days/19 days,2026-03-24/2026-01-27/2026-02-19,13.12%,15.76%,-2.64%,1.17,0.86,7366.9687/7054.711/7210.84/8039.75/10328.7816/16124.9701/7327.49,6797.0/4147.0/6746.5385/4532.5931/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),6810.0,61.347458,20.0,4328000000.0,3052000000.0
"UPL.NS, Long, 2026-01-23 (Price: 702.55)",2026-02-03 (Price: 739.8),"5.3%, 11 days","87.5%, Past 4 years, 16","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-02-06 (Price: 741.3), 5.52% above",14 days,7.26%/2.33%/3.97%,"14.07%, 14.07%",25 days/2 days/10 days,2026-02-28/2026-01-25/2026-02-06,12.66%,6.49%,6.17%,0.45,0.34,776.8095/730.4412/753.63/852.5333/875.7571/921.8073/702.82,691.7/493.3373/667.6663/590.411/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),701.0,35.4689,20.0,3960000000.0,-4430000000.0
"BOSCHLTD.NS, Long, 2026-01-22 (Price: 35710.0)",2026-02-02 (Price: 36605.0),"2.51%, 11 days","70.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-06 (Price: 36340.0), 1.76% above",15 days,6.12%/1.83%/3.56%,"10.96%, 10.96%",1 month/7 days/18 days,2026-03-06/2026-02-01/2026-02-17,3.73%,15.2%,-11.47%,-0.01,0.88,36284.931/36981.276/36633.1/36837.6758/42329.798/44560.2656/36264.2,35130.0/13189.8333/32678.3317/29773.9359/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),35305.0,38.910423,20.0,5545000000.0,5367000000.0
"GREENPLY.NS, Long, 2026-01-22 (Price: 224.65)",2026-02-03 (Price: 235.3),"4.74%, 12 days","90.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-06 (Price: 227.98), 1.48% above",15 days,9.07%/2.15%/5.33%,"12.08%, 12.08%",2.8 months/1 day/25 days,2026-05-23/2026-01-23/2026-02-27,12.34%,8.61%,3.73%,0.59,0.44,245.52/236.6238/241.07/281.65/398.87/502.4712/293.46,No Recent Minima/160.5/153.4822/120.4472/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),228.05,37.87043,20.0,143669000.0,244596000.0
"MFSL.NS, Long, 2026-01-22 (Price: 1627.7)",2026-02-03 (Price: 1674.7),"2.89%, 12 days","70.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-06 (Price: 1704.6), 4.72% above",15 days,6.47%/2.87%/4.78%,"11.37%, 11.37%",1.6 month/1 day/12 days,2026-04-01/2026-01-23/2026-02-08,6.16%,12.75%,-6.59%,0.14,0.68,1629.6532/1705.5041/1667.58/1670.85/1792.5323/1920.7069/No EMA 200 Target,1619.8/698.25/1557.7732/1423.1278/No F-Track Level/No F-Track Level/1573.57,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),1619.8,357.3585,20.0,41200000.0,1125600000.0
"PHOENIXLTD.NS, Long, 2026-01-22 (Price: 1768.2)",2026-02-02 (Price: 1631.5),"-7.73%, 11 days","75.0%, Past 4 years, 4","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-06 (Price: 1735.2), 1.87% below",15 days,9.0%/5.62%/7.3%,"10.84%, 15.32%",11 days/10 days/10 days,2026-02-06/2026-02-05/2026-02-05,17.31%,23.98%,-6.67%,0.3,1.13,1940.069/1897.2786/1918.67/1875.775/1960.6714/2089.0277/No EMA 200 Target,1746.7/443.4875/1472.0383/1297.8896/No F-Track Level/No F-Track Level/1636.57,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),1754.5,56.817284,20.0,2757906000.0,2180977000.0
"POLYCAB.NS, Long, 2026-01-22 (Price: 6999.0)",2026-02-03 (Price: 7505.0),"7.23%, 12 days","87.5%, Past 4 years, 8","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-06 (Price: 7623.5), 8.92% above",15 days,8.74%/2.33%/4.93%,"15.36%, 22.5%",1.5 month/2 days/15 days,2026-03-28/2026-01-24/2026-02-12,9.27%,29.4%,-20.13%,0.35,1.49,7494.5292/7344.0507/7419.29/7600.0/9037.2564/11823.992/No EMA 200 Target,6975.0/2038.425/6190.4208/4930.197/No F-Track Level/No F-Track Level/6974.36,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),7050.0,43.85859,20.0,6216900000.0,4398110000.0
"SONATSOFTW.NS, Long, 2026-01-22 (Price: 313.45)",2026-02-03 (Price: 327.3),"4.42%, 12 days","85.71%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-06 (Price: 305.9), 2.41% below",15 days,14.16%/3.08%/6.59%,"13.86%, 14.39%",24 days/1 day/7 days,2026-02-25/2026-01-23/2026-02-01,18.3%,11.78%,6.52%,0.43,0.57,330.5017/334.1064/332.3/576.9/918.8776/1466.0325/375.18,309.6/229.3032/266.2207/218.8939/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),315.0,19.226902,28.0,1201900000.0,1064900000.0
"SUNPHARMA.NS, Long, 2026-01-22 (Price: 1634.2)",2026-02-03 (Price: 1702.1),"4.15%, 12 days","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-06 (Price: 1695.1), 3.73% above",15 days,3.77%/2.04%/2.91%,"6.1%, 7.47%",18 days/5 days/10 days,2026-02-17/2026-01-29/2026-02-05,7.66%,15.46%,-7.8%,0.46,1.03,1699.4046/1681.7552/1690.58/1935.175/2110.5488/2409.4589/1692.38,1612.9/727.775/1465.6767/925.6338/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),1614.1,37.312347,20.0,33688100000.0,30401600000.0
"SUZLON.NS, Long, 2026-01-22 (Price: 46.99)",2026-02-03 (Price: 49.16),"4.62%, 12 days","70.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-06 (Price: 48.04), 2.23% above",15 days,10.24%/2.47%/6.8%,"16.33%, 18.5%",28 days/1 day/9 days,2026-03-03/2026-01-23/2026-02-04,6.01%,32.35%,-26.34%,0.08,1.29,46.9712/50.1853/48.58/52.0167/No Next Fib Ext/No Next Fib Ext/57.91,45.53/12.0893/40.2518/34.7986/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),46.4,20.355934,20.0,4452800000.0,2002000000.0
"ESCORTS.NS, Long, 2026-01-21 (Price: 3575.3999)",2026-02-05 (Price: 3714.1001),"3.88%, 15 days","77.78%, Past 4 years, 9","Daily, was CONFIRMED on 2026-01-21",Already confirmed,"2026-02-06 (Price: 3763.7), 5.27% above",16 days,5.68%/3.24%/4.23%,"8.86%, 10.26%",14 days/2 days/5 days,2026-02-10/2026-01-23/2026-01-28,8.2%,15.67%,-7.47%,0.3,0.82,3753.0973/3726.6393/3739.87/4414.7749/5020.1208/6370.691/No EMA 200 Target,3506.2/1114.0/3121.5128/2733.4566/No F-Track Level/No F-Track Level/3536.37,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),3470.0,33.22182,20.0,13971100000.0,3016500000.0
"LT.NS, Long, 2026-01-16 (Price: 3856.3999)",2026-02-03 (Price: 4038.8),"4.73%, 18 days","100.0%, Past 4 years, 13","Daily, was CONFIRMED on 2026-01-16",Already confirmed,"2026-02-06 (Price: 4068.1001), 5.49% above",21 days,4.6%/2.62%/3.53%,"0%, 7.23%",1.2 month/1 day/9 days,2026-03-09/2026-01-17/2026-01-29,15.78%,16.5%,-0.72%,5.71,1.0,4196.92/3992.5308/4094.73/3884.23/4866.1004/5519.0031/No EMA 200 Target,3644.4/1589.0/3432.2308/3111.6039/No F-Track Level/No F-Track Level/3743.2,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),3890.0,31.846722,20.0,32151100000.0,33952900000.0
"MOTHERSON.NS, Long, 2026-01-15 (Price: 113.55)",2026-02-03 (Price: 121.32),"6.84%, 19 days","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-01-15",Already confirmed,"2026-02-06 (Price: 118.1), 4.01% above",22 days,6.99%/3.57%/5.05%,"12.82%, 12.82%",27 days/3 days/10 days,2026-02-23/2026-01-19/2026-01-29,6.35%,13.77%,-7.42%,0.11,0.66,122.1344/119.2843/120.71/No Horizontal Resistance/153.8589/163.7818/No EMA 200 Target,102.55/41.2/111.9154/102.2779/No F-Track Level/No F-Track Level/105.15,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),113.55,41.006943,20.0,8270000000.0,8797400000.0
