"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit
"TVSMOTOR.NS, Long, 2026-02-12 (Price: 3881.2)",No Exit Yet,"-0.52%, 5 days","100.0%, Past 4 years, 27","Daily, is CONFIRMED on 2026-02-12",Already confirmed,"2026-02-17 (Price: 3861.0), 0.52% below",5 days,"0, 2025-09-08 (Price: 3602.7)",2026-02-11 (Price: 3877.3),2026-02-12 (Price: 3881.2),6/5/5 days,0.42% below/0.52% below/0.52% below,2025-09-08 (Price: 3602.7)/2026-02-12 (Price: 3800.9998),8.84%/0.64%/3.7%,"0%, 12.99%",2.1 months/6 days/21 days,2026-05-14/2026-02-20/2026-03-14,23.8%,27.39%,-3.59%,1.63,1.45,4171.5138/4024.8044/4048.3/No Horizontal Resistance/5232.2497/5544.7835/No EMA 200 Target,3549.8/518.325/3540.5201/3236.888/No F-Track Level/No F-Track Level/3277.16,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),84.13284,20.0,8412900000.0,5604900000.0
"CHAMBLFERT.NS, Long, 2026-02-09 (Price: 444.8)",2026-02-16 (Price: 450.2),"1.21%, 7 days","81.82%, Past 4 years, 33","Daily, is CONFIRMED on 2026-02-09",Already confirmed,"2026-02-17 (Price: 450.8), 1.35% above",8 days,"2, 2026-01-05 (Price: 487.0)",2026-02-06 (Price: 428.05),2026-02-09 (Price: 444.8),11/8/8 days,5.31% above/1.35% above/1.35% above,2026-01-05 (Price: 487.0)/2026-02-09 (Price: 423.7),22.62%/1.6%/7.16%,"22.05%, 29.14%",3.1 months/6 days/20 days,2026-06-23/2026-02-17/2026-03-09,19.51%,14.38%,5.13%,0.6,0.68,486.5222/476.6477/470.12/577.525/705.4334/764.988/522.01,427.45/249.225/373.8657/340.9532/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),9.462231,20.0,5864100000.0,5363700000.0
"GLAXO.NS, Long, 2026-02-06 (Price: 2484.0)",2026-02-13 (Price: 2634.7),"6.07%, 7 days","88.46%, Past 4 years, 26","Daily, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-17 (Price: 2614.7), 5.26% above",11 days,"2, 2025-05-28 (Price: 3398.0)",2026-02-05 (Price: 2444.6001),2026-02-06 (Price: 2484.0),12/11/11 days,6.96% above/5.26% above/5.26% above,2025-05-28 (Price: 3398.0)/2026-02-06 (Price: 2400.2013),13.61%/0.78%/4.84%,"2.25%, 21.55%",3.7 months/7 days/25 days,2026-07-16/2026-02-16/2026-03-14,18.36%,5.23%,13.13%,0.87,0.27,2684.9556/2604.2256/3032.4/2542.0/3926.723/4701.661/2794.85,2272.6/1229.0/2441.018/1752.6342/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),43.191174,20.0,2956200000.0,2525000000.0
"JINDALSTEL.NS, Long, 2026-02-05 (Price: 1178.0)",2026-02-12 (Price: 1203.4),"2.16%, 7 days","96.67%, Past 4 years, 30","Daily, is CONFIRMED on 2026-02-05",Already confirmed,"2026-02-17 (Price: 1203.1), 2.13% above",12 days,"2, 2020-01-16 (Price: 181.8)",2026-02-05 (Price: 1178.0),2026-02-05 (Price: 1178.0),12/12/12 days,2.13% above/2.13% above/2.13% above,2020-01-16 (Price: 181.8)/2026-02-05 (Price: 1166.34),10.17%/1.38%/4.87%,"6.9%, 30.08%",2.5 months/6 days/22 days,2026-05-24/2026-02-13/2026-03-08,26.03%,23.89%,2.14%,1.35,1.04,1292.1482/1235.3686/1775.72/No Horizontal Resistance/1159.8636/1297.5069/No EMA 200 Target,1010.3/343.55/1079.4257/822.3004/No F-Track Level/No F-Track Level/1000.87,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),62.087177,20.0,1904300000.0,8609000000.0
"CEATLTD.NS, Long, 2026-02-04 (Price: 3909.7)",2026-02-12 (Price: 3988.0),"2.0%, 8 days","95.83%, Past 4 years, 24","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-17 (Price: 3891.3999), 0.47% below",13 days,"4, 2025-10-23 (Price: 4438.0)",2026-02-03 (Price: 3880.7),2026-02-04 (Price: 3909.7),14/13/13 days,0.28% above/0.47% below/0.47% below,2025-10-23 (Price: 4438.0)/2026-02-04 (Price: 3811.0566),19.21%/1.46%/5.31%,"3.9%, 24.59%",4 months/6 days/1.5 month,2026-07-27/2026-02-12/2026-04-10,24.34%,17.32%,7.02%,0.92,0.82,4255.7085/4117.3051/4226.68/4044.0/4937.5719/5697.8144/No EMA 200 Target,3545.1/1265.1/3824.3322/3079.4707/No F-Track Level/No F-Track Level/3640.74,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),28.37342,20.0,1557700000.0,1218800000.0
"CGPOWER.NS, Long, 2026-02-04 (Price: 669.6)",2026-02-16 (Price: 688.2),"2.78%, 12 days","88.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-17 (Price: 686.4), 2.51% above",13 days,"2, 2025-11-17 (Price: 753.6)",2026-02-02 (Price: 608.35),2026-02-04 (Price: 669.6),15/13/13 days,12.83% above/2.51% above/2.51% above,2025-11-17 (Price: 753.6)/2026-02-04 (Price: 608.2954),15.41%/2.2%/7.15%,"18.42%, 37.02%",3.4 months/4 days/27 days,2026-07-01/2026-02-09/2026-03-15,27.25%,62.6%,-35.35%,0.39,2.74,751.9608/717.4764/720.0/797.5667/991.0042/1593.2357/683.48,530.65/154.5/631.1217/606.4885/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),96.536316,20.0,2848300000.0,2209600000.0
"PTC.NS, Long, 2026-02-04 (Price: 181.72)",2026-02-13 (Price: 184.5),"1.53%, 9 days","93.75%, Past 4 years, 16","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-17 (Price: 173.78), 4.37% below",13 days,"6, 2024-01-12 (Price: 210.7)",2026-02-02 (Price: 169.77),2026-02-04 (Price: 181.72),15/13/13 days,2.36% above/4.37% below/4.37% below,2024-01-12 (Price: 210.7)/2026-02-04 (Price: 167.5352),21.03%/1.88%/6.92%,"23.64%, 47.9%",1.6 month/6 days/24 days,2026-04-14/2026-02-12/2026-03-10,2.71%,13.31%,-10.6%,0.54,0.63,190.4244/194.295/199.11/240.5167/281.0337/326.2748/No EMA 200 Target,152.8/79.325/129.6519/No support/No F-Track Level/No F-Track Level/172.73,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),6.1379914,16.0,1140500000.0,1576000000.0
"SUPREMEIND.NS, Long, 2026-02-04 (Price: 3741.0)",2026-02-17 (Price: 3909.0),"4.49%, 13 days","80.0%, Past 4 years, 30","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-17 (Price: 3909.0), 4.49% above",13 days,"4, 2025-08-25 (Price: 4664.8999)",2026-02-02 (Price: 3600.8),2026-02-04 (Price: 3741.0),15/13/13 days,8.56% above/4.49% above/4.49% above,2025-08-25 (Price: 4664.8999)/2026-02-04 (Price: 3446.5545),17.14%/0.2%/5.4%,"19.0%, 43.75%",1.9 month/7 days/16 days,2026-04-27/2026-02-14/2026-02-27,13.78%,13.63%,0.15%,0.11,0.67,3984.165/3943.014/4295.34/4904.0249/6689.9666/7579.324/3957.21,3348.7/1903.7125/3098.3776/2561.5102/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),61.21335,20.0,1533700000.0,2066000000.0
"DALBHARAT.NS, Long, 2026-02-03 (Price: 2110.6001)",2026-02-12 (Price: 2171.2),"2.87%, 9 days","85.19%, Past 4 years, 27","Daily, is CONFIRMED on 2026-02-03",Already confirmed,"2026-02-17 (Price: 2128.1001), 0.83% above",14 days,"8, 2025-09-08 (Price: 2447.8999)",2026-02-02 (Price: 2063.3999),2026-02-03 (Price: 2110.6001),15/14/14 days,3.14% above/0.83% above/0.83% above,2025-09-08 (Price: 2447.8999)/2026-02-03 (Price: 2025.5101),8.18%/2.04%/4.46%,"5.14%, 40.11%",7.7 months/7 days/2.2 months,2027-01-03/2026-02-13/2026-05-09,9.79%,11.45%,-1.66%,1.14,0.58,2150.2794/2204.7329/2312.98/2455.03/2806.0077/3418.0996/2145.35,2063.3/1669.9/1608.7998/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),33.387634,20.0,1220000000.0,460000000.0
"LINDEINDIA.NS, Long, 2026-02-03 (Price: 6003.5)",2026-02-12 (Price: 6440.5),"7.28%, 9 days","90.91%, Past 4 years, 22","Daily, is CONFIRMED on 2026-02-03",Already confirmed,"2026-02-17 (Price: 6815.0), 13.52% above",14 days,"0, 2024-09-23 (Price: 8744.75)",2026-02-02 (Price: 5930.5),2026-02-03 (Price: 6003.5),15/14/14 days,14.91% above/13.52% above/13.52% above,2024-09-23 (Price: 8744.75)/2026-02-03 (Price: 5907.0),37.57%/1.58%/13.39%,"16.54%, 34.41%",4.5 months/6 days/19 days,2026-08-17/2026-02-11/2026-03-02,26.6%,29.05%,-2.45%,0.58,1.32,6907.0268/6807.3687/7648.25/6045.0/10059.5422/11195.0707/6374.52,5843.5/2275.0/5190.2168/4425.7936/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),98.94249,20.0,1933250000.0,1064240000.0
"GLAXO.NS, Long, 2026-02-02 (Price: 2407.2)",2026-02-12 (Price: 2668.5),"10.85%, 10 days","88.46%, Past 4 years, 26","Daily, is CONFIRMED on 2026-02-02",Already confirmed,"2026-02-17 (Price: 2614.7), 8.62% above",15 days,"8, 2025-06-05 (Price: 3515.7)",2026-02-02 (Price: 2407.2),2026-02-02 (Price: 2407.2),15/15/15 days,8.62% above/8.62% above/8.62% above,2025-06-05 (Price: 3515.7)/2026-02-02 (Price: 2380.9895),13.61%/0.78%/4.84%,"2.25%, 21.55%",3.7 months/7 days/25 days,2026-07-12/2026-02-12/2026-03-10,18.36%,5.23%,13.13%,0.87,0.27,2601.9425/2523.7085/3072.3/2542.0/3926.723/4701.661/2803.29,2272.6/1229.0/1752.6342/1239.4046/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),43.22934,20.0,2956200000.0,2525000000.0
"LINDEINDIA.NS, Long, 2026-02-02 (Price: 5930.5)",2026-02-12 (Price: 6440.5),"8.6%, 10 days","90.91%, Past 4 years, 22","Daily, is CONFIRMED on 2026-02-02",Already confirmed,"2026-02-17 (Price: 6815.0), 14.91% above",15 days,"10, 2025-11-20 (Price: 6332.0)",2026-02-02 (Price: 5930.5),2026-02-02 (Price: 5930.5),15/15/15 days,14.91% above/14.91% above/14.91% above,2025-11-20 (Price: 6332.0)/2026-02-02 (Price: 5838.6011),37.57%/1.58%/13.39%,"16.54%, 34.41%",4.5 months/6 days/19 days,2026-08-16/2026-02-10/2026-03-01,26.6%,29.05%,-2.45%,0.58,1.32,6823.0403/6724.594/6171.4/6045.0/10059.5422/11195.0707/6375.05,5843.5/2275.0/5190.2168/4425.7936/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),98.94249,20.0,1933250000.0,1064240000.0
"SCI.NS, Long, 2026-01-30 (Price: 225.37)",2026-02-12 (Price: 273.62),"21.41%, 13 days","94.74%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-17 (Price: 273.87), 21.52% above",18 days,"2, 2025-10-24 (Price: 280.5)",2026-01-30 (Price: 225.37),2026-01-30 (Price: 225.37),18/18/18 days,21.52% above/21.52% above/21.52% above,2025-10-24 (Price: 280.5)/2026-01-30 (Price: 218.4033),11.12%/4.13%/6.82%,"4.19%, 58.44%",4.3 months/8 days/1.5 month,2026-08-04/2026-02-10/2026-04-05,11.25%,15.38%,-4.13%,1.85,0.7,232.9875/240.7402/258.45/No Horizontal Resistance/303.2302/328.2466/No EMA 200 Target,201.74/97.9333/219.2608/159.3898/No F-Track Level/No F-Track Level/217.55,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),11.263461,20.0,4049700000.0,755200000.0
"ATUL.NS, Long, 2026-01-29 (Price: 6187.5)",2026-02-12 (Price: 6628.5),"7.13%, 14 days","90.48%, Past 4 years, 21","Daily, is CONFIRMED on 2026-01-29",Already confirmed,"2026-02-17 (Price: 6618.0), 6.96% above",19 days,"0, 2025-05-26 (Price: 7289.0)",2026-01-28 (Price: 6149.0),2026-01-29 (Price: 6187.5),20/19/19 days,7.63% above/6.96% above/6.96% above,2025-05-26 (Price: 7289.0)/2026-01-29 (Price: 5827.7273),13.13%/0.46%/5.09%,"17.37%, 25.96%",2.7 months/7 days/26 days,2026-05-26/2026-02-08/2026-03-07,11.38%,4.85%,6.53%,0.44,0.25,6692.4/6502.4437/6848.4/10824.4001/12269.9576/13179.5057/6425.25,5664.5/5668.0/5827.6988/5342.5376/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),32.849846,20.0,1607400000.0,1368100000.0
"GUJGASLTD.NS, Long, 2026-01-29 (Price: 420.3)",2026-02-12 (Price: 425.35),"1.2%, 14 days","82.35%, Past 4 years, 17","Daily, is CONFIRMED on 2026-01-29",Already confirmed,"2026-02-17 (Price: 416.1), 1.0% below",19 days,"8, 2024-06-14 (Price: 648.95)",2026-01-27 (Price: 402.8),2026-01-29 (Price: 420.3),21/19/19 days,3.3% above/1.0% below/1.0% below,2024-06-14 (Price: 648.95)/2026-01-29 (Price: 394.3138),11.14%/3.38%/7.08%,"25.86%, 41.85%",2.2 months/6 days/20 days,2026-05-04/2026-02-06/2026-02-26,2.32%,6.86%,-4.54%,0.0,0.36,435.5989/450.0572/557.49/692.975/822.5996/869.5839/434.95,394.55/400.3/387.7818/285.1359/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),24.58531,16.0,2668400000.0,2209900000.0
"ULTRACEMCO.NS, Long, 2026-01-28 (Price: 12767.0)",2026-02-13 (Price: 12986.0),"1.72%, 16 days","100.0%, Past 4 years, 27","Daily, is CONFIRMED on 2026-01-28",Already confirmed,"2026-02-17 (Price: 12990.0), 1.75% above",20 days,"2, 2020-01-16 (Price: 4554.8999)",2026-01-28 (Price: 12767.0),2026-01-28 (Price: 12767.0),20/20/20 days,1.75% above/1.75% above/1.75% above,2020-01-16 (Price: 4554.8999)/2026-01-28 (Price: 12599.1247),9.21%/0.57%/3.32%,"-0.0%, 12.28%",2.9 months/4 days/26 days,2026-06-03/2026-02-02/2026-03-06,20.96%,12.78%,8.18%,1.31,0.71,13285.3402/13190.8644/17694.26/No Horizontal Resistance/15174.1836/17686.9824/No EMA 200 Target,11317.0/5987.6001/11032.7765/9480.9085/No F-Track Level/No F-Track Level/12007.97,86.51%/252/1.2 month (Across ALL Assets),No Data (Across ALL Assets),49.76621,20.0,17254000000.0,7028200000.0
