"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price,PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit
"INDIAMART.NS, Long, 2026-02-05 (Price: 2282.8)",No Exit Yet,"-1.94%, 1 day","94.44%, Past 4 years, 18","Daily, is CONFIRMED on 2026-02-05",Already confirmed,"2026-02-06 (Price: 2238.3999), 1.94% below",1 day,"4, 2025-10-23 (Price: 2349.8)",2026-02-05 (Price: 2282.8),2026-02-05 (Price: 2282.8),1/1/1 days,1.94% below/1.94% below/1.94% below,2025-10-23 (Price: 2533.0132)/2026-02-05 (Price: 2263.6884),8.9%/0.73%/4.62%,"0.93%, 50.27%",5 months/4 days/1.6 month,2026-09-10/2026-02-10/2026-04-15,7.54%,9.1%,-1.56%,1.47,0.48,2299.4644/2388.2654/2323.0/3347.2562/5181.0026/5776.919/2407.37,2114.5/2238.8833/1962.7069/1582.8409/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),2269.1001,22.272636,20.0,1883100000.0,1351000000.0
"JINDALSTEL.NS, Long, 2026-02-05 (Price: 1178.0)",No Exit Yet,"1.01%, 1 day","96.67%, Past 4 years, 30","Daily, is CONFIRMED on 2026-02-05",Already confirmed,"2026-02-06 (Price: 1189.9), 1.01% above",1 day,"2, 2025-12-15 (Price: 1034.0)",2026-02-05 (Price: 1178.0),2026-02-05 (Price: 1178.0),1/1/1 days,1.01% above/1.01% above/1.01% above,2025-12-15 (Price: 1036.5)/2026-02-05 (Price: 1166.34),10.17%/1.38%/4.87%,"6.9%, 30.08%",2.5 months/6 days/22 days,2026-05-24/2026-02-13/2026-03-08,26.03%,23.89%,2.14%,1.35,1.04,1292.1482/1235.3686/1264.4/No Horizontal Resistance/1159.8636/1297.5069/No EMA 200 Target,1010.3/343.55/1079.4257/822.3004/No F-Track Level/No F-Track Level/1000.89,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),1159.1,60.989235,20.0,1904300000.0,8609000000.0
"SFL.NS, Long, 2026-02-05 (Price: 610.55)",No Exit Yet,"-3.65%, 1 day","90.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-02-05",Already confirmed,"2026-02-06 (Price: 588.25), 3.65% below",1 day,"2, 2025-10-31 (Price: 699.35)",2026-02-03 (Price: 523.6),2026-02-05 (Price: 610.55),3/1/1 days,12.35% above/3.65% below/3.65% below,2025-10-31 (Price: 737.5203)/2026-02-05 (Price: 528.4189),12.54%/1.12%/4.43%,"17.09%, 33.18%",2.7 months/4 days/20 days,2026-06-02/2026-02-10/2026-03-05,1.92%,-1.21%,3.13%,0.42,-0.05,633.2625/637.5974/663.83/2003.625/1812.7564/1921.2981/651.74,504.95/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),610.0,72.44458,20.0,521300000.0,199400000.0
"STARCEMENT.NS, Long, 2026-02-05 (Price: 222.54)",No Exit Yet,"-3.19%, 1 day","70.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-02-05",Already confirmed,"2026-02-06 (Price: 215.43), 3.19% below",1 day,"2, 2025-10-03 (Price: 254.2)",2026-02-03 (Price: 219.43),2026-02-05 (Price: 222.54),3/1/1 days,1.82% below/3.19% below/3.19% below,2025-10-03 (Price: 278.586)/2026-02-05 (Price: 214.2476),11.05%/2.62%/6.46%,"6.42%, 19.14%",2.8 months/7 days/1.7 month,2026-06-06/2026-02-15/2026-04-19,7.78%,11.16%,-3.38%,0.39,0.55,231.8867/236.9161/241.54/242.93/327.6075/401.7712/236.78,211.5/103.275/209.6529/182.3934/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),221.3,23.64764,20.0,984549000.0,310364000.0
"UNIONBANK.NS, Long, 2026-02-05 (Price: 177.92)",No Exit Yet,"0.12%, 1 day","91.3%, Past 4 years, 23","Daily, is CONFIRMED on 2026-02-05",Already confirmed,"2026-02-06 (Price: 178.13), 0.12% above",1 day,"6, 2025-09-01 (Price: 128.16)",2026-02-04 (Price: 176.74),2026-02-05 (Price: 177.92),2/1/1 days,0.79% above/0.12% above/0.12% above,2025-09-01 (Price: 142.012)/2026-02-05 (Price: 172.9992),13.58%/1.6%/6.69%,"17.65%, 36.33%",1.5 month/7 days/20 days,2026-04-11/2026-02-15/2026-03-05,10.9%,11.87%,-0.97%,0.72,0.57,196.5482/189.8228/207.78/No Horizontal Resistance/539.7921/764.5187/No EMA 200 Target,171.13/33.075/142.2494/No support/No F-Track Level/No F-Track Level/145.41,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),176.11,7.1797667,20.0,50726900000.0,47509300000.0
"CEATLTD.NS, Long, 2026-02-04 (Price: 3912.8)",No Exit Yet,"0.3%, 2 days","95.83%, Past 4 years, 24","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-06 (Price: 3924.3999), 0.3% above",2 days,"4, 2025-10-21 (Price: 4289.7002)",2026-02-03 (Price: 3880.7),2026-02-04 (Price: 3912.8),3/2/2 days,1.13% above/0.3% above/0.3% above,2025-10-21 (Price: 4446.8302)/2026-02-04 (Price: 3811.0566),19.21%/1.46%/5.31%,"3.9%, 24.59%",4 months/6 days/1.5 month,2026-07-27/2026-02-12/2026-04-10,24.34%,17.32%,7.02%,0.92,0.82,4259.0828/4120.5697/4138.94/4044.0/4937.5719/5697.8144/No EMA 200 Target,3545.1/1265.1/3824.3322/3079.4707/No F-Track Level/No F-Track Level/3640.76,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),3880.7,28.65362,20.0,1557700000.0,1218800000.0
"FINEORG.NS, Long, 2026-02-04 (Price: 4526.0)",No Exit Yet,"-2.5%, 2 days","90.91%, Past 4 years, 22","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-06 (Price: 4412.7998), 2.5% below",2 days,"2, 2025-11-18 (Price: 4696.7002)",2026-02-02 (Price: 4265.7002),2026-02-04 (Price: 4526.0),4/2/2 days,3.45% above/2.5% below/2.5% below,2025-11-18 (Price: 4777.2439)/2026-02-04 (Price: 4148.4812),6.85%/1.13%/3.55%,"10.82%, 33.01%",3.6 months/6 days/21 days,2026-07-10/2026-02-12/2026-03-06,13.51%,9.88%,3.63%,0.45,0.49,4704.777/4686.673/4628.42/6049.375/7126.5561/8749.684/4602.86,3886.8/2762.0999/3902.6753/3301.8591/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),4500.0,33.33434,20.0,1085463000.0,1174413000.0
"HEROMOTOCO.NS, Long, 2026-02-04 (Price: 5845.0)",No Exit Yet,"-1.57%, 2 days","85.71%, Past 4 years, 28","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-06 (Price: 5753.5), 1.57% below",2 days,"2, 2025-12-04 (Price: 6340.0)",2026-02-03 (Price: 5763.0),2026-02-04 (Price: 5845.0),3/2/2 days,0.16% below/1.57% below/1.57% below,2025-12-04 (Price: 6414.0872)/2026-02-04 (Price: 5694.2661),9.6%/1.45%/6.26%,"21.53%, 34.5%",3.4 months/6 days/26 days,2026-07-01/2026-02-12/2026-03-13,14.92%,10.45%,4.47%,0.67,0.55,6262.9175/6210.897/6142.0/6317.375/6967.7432/7905.3337/No EMA 200 Target,5380.0/2278.0/5470.4734/3936.2706/No F-Track Level/No F-Track Level/5050.21,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),5747.0,21.141691,20.0,12675500000.0,11075500000.0
"ICICIPRULI.NS, Long, 2026-02-04 (Price: 660.5)",No Exit Yet,"-1.39%, 2 days","95.65%, Past 4 years, 23","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-06 (Price: 651.35), 1.39% below",2 days,"0, 2024-04-12 (Price: 629.0)",2026-02-02 (Price: 641.8),2026-02-04 (Price: 660.5),4/2/2 days,1.49% above/1.39% below/1.39% below,2024-04-12 (Price: 814.0495)/2026-02-04 (Price: 639.621),11.28%/1.18%/4.94%,"4.58%, 20.44%",1.6 month/8 days/20 days,2026-04-14/2026-02-15/2026-03-04,20.66%,3.07%,17.59%,1.19,0.18,721.5302/693.1287/679.4/685.075/895.0626/1195.5252/No EMA 200 Target,625.3/383.875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/626.54,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),658.45,68.99894,20.0,3871500000.0,2509900000.0
"JSWSTEEL.NS, Long, 2026-02-04 (Price: 1231.6)",No Exit Yet,"0.37%, 2 days","95.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-06 (Price: 1236.2), 0.37% above",2 days,"2, 2025-11-26 (Price: 1154.4)",2026-02-02 (Price: 1199.2),2026-02-04 (Price: 1231.6),4/2/2 days,3.09% above/0.37% above/0.37% above,2025-11-26 (Price: 1183.2827)/2026-02-04 (Price: 1208.8718),6.29%/0.36%/3.35%,"0.29%, 18.59%",1.4 month/8 days/18 days,2026-04-05/2026-02-15/2026-03-02,17.32%,17.9%,-0.58%,1.72,0.89,1407.103/1272.8586/1277.92/No Horizontal Resistance/1273.4822/1578.0809/No EMA 200 Target,1079.3/628.36/1205.6736/988.3992/No F-Track Level/No F-Track Level/1090.51,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),1229.0,40.6511,20.0,21390000000.0,4390000000.0
"ORIENTCEM.NS, Long, 2026-02-04 (Price: 165.3)",No Exit Yet,"-1.84%, 2 days","87.5%, Past 4 years, 24","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-06 (Price: 162.26), 1.84% below",2 days,"4, 2025-07-24 (Price: 256.86)",2026-02-03 (Price: 162.02),2026-02-04 (Price: 165.3),3/2/2 days,0.15% above/1.84% below/1.84% below,2025-07-24 (Price: 273.2033)/2026-02-04 (Price: 160.763),16.35%/1.8%/7.83%,"15.43%, 37.7%",5.1 months/7 days/1.1 month,2026-09-13/2026-02-14/2026-03-23,25.44%,10.95%,14.49%,0.78,0.54,181.4663/178.243/220.24/366.4375/362.5742/449.9336/234.88,156.95/140.35/163.7371/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),162.02,10.276124,20.0,277994000.0,23247000.0
"POWERGRID.NS, Long, 2026-02-04 (Price: 289.3)",No Exit Yet,"1.19%, 2 days","80.95%, Past 4 years, 21","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-06 (Price: 292.75), 1.19% above",2 days,"2, 2025-12-12 (Price: 263.6)",2026-02-03 (Price: 283.2),2026-02-04 (Price: 289.3),3/2/2 days,3.37% above/1.19% above/1.19% above,2025-12-12 (Price: 266.8)/2026-02-04 (Price: 281.425),7.93%/1.17%/4.15%,"10.58%, 26.81%",2.2 months/7 days/1 month,2026-05-10/2026-02-14/2026-03-19,6.77%,11.32%,-4.55%,0.28,0.61,296.0118/301.306/304.72/364.375/417.9699/477.7786/No EMA 200 Target,254.05/141.1078/280.008/245.2878/No F-Track Level/No F-Track Level/284.02,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),288.8,18.802183,16.0,41849600000.0,37930200000.0
"PTC.NS, Long, 2026-02-04 (Price: 182.09)",No Exit Yet,"-0.83%, 2 days","93.75%, Past 4 years, 16","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-06 (Price: 180.57), 0.83% below",2 days,"6, 2025-08-29 (Price: 175.11)",2026-02-02 (Price: 169.77),2026-02-04 (Price: 182.09),4/2/2 days,6.36% above/0.83% below/0.83% below,2025-08-29 (Price: 177.537)/2026-02-04 (Price: 167.5352),21.03%/1.88%/6.92%,"23.64%, 47.9%",1.6 month/6 days/24 days,2026-04-14/2026-02-12/2026-03-10,2.71%,13.31%,-10.6%,0.54,0.63,190.8121/194.6906/186.28/240.5167/281.0337/326.2748/No EMA 200 Target,152.8/79.325/129.6519/No support/No F-Track Level/No F-Track Level/172.73,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),174.0,6.0573635,16.0,1911900000.0,2172400000.0
"SUPREMEIND.NS, Long, 2026-02-04 (Price: 3709.8999)",No Exit Yet,"-0.84%, 2 days","80.0%, Past 4 years, 30","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-06 (Price: 3678.6001), 0.84% below",2 days,"4, 2025-08-11 (Price: 4354.7002)",2026-02-02 (Price: 3600.8),2026-02-04 (Price: 3709.8999),4/2/2 days,2.16% above/0.84% below/0.84% below,2025-08-11 (Price: 4763.6847)/2026-02-04 (Price: 3446.5545),17.14%/0.2%/5.4%,"19.0%, 43.75%",1.9 month/7 days/16 days,2026-04-27/2026-02-14/2026-02-27,13.78%,13.63%,0.15%,0.11,0.67,3951.0434/3910.2345/4096.78/4904.0249/6689.9666/7579.324/3957.05,3348.7/1903.7125/3098.3776/2561.5102/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),3686.8999,57.469147,20.0,1533700000.0,2066000000.0
"TIMKEN.NS, Long, 2026-02-04 (Price: 3252.8999)",No Exit Yet,"-0.44%, 2 days","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-06 (Price: 3238.5), 0.44% below",2 days,"4, 2025-10-20 (Price: 2927.7)",2026-02-02 (Price: 3028.8),2026-02-04 (Price: 3252.8999),4/2/2 days,6.92% above/0.44% below/0.44% below,2025-10-20 (Price: 3190.8798)/2026-02-04 (Price: 3078.5603),24.95%/1.66%/9.08%,"23.82%, 42.34%",4.2 months/7 days/1.1 month,2026-08-05/2026-02-14/2026-03-23,4.99%,15.71%,-10.72%,0.41,0.75,3416.8461/3548.2632/3448.02/3534.6/4353.7859/4629.118/No EMA 200 Target,2941.6/1667.1167/3060.9508/2711.0127/No F-Track Level/No F-Track Level/3062.39,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),3165.1001,56.498604,20.0,545560000.0,899480000.0
